accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
UT95262349	UT_000	UT001208,UT001950,UT002682	773.5300000000001	[M-H]-	134772544	C42H79O10P	14.840000000000002
UT43518582	UT_000	UT001116,UT001854,UT002585	754.54	[M-H]-	134772666	C42H78NO8P	26.156666666666666
UT68003334	UT_000	UT001076,UT001814,UT002547	854.6266666666667	[M+CH3COO]-	134772756	C46H86NO7P	31.310000000000002
UT35819451	UT_000	UT001364,UT002104,UT002833	764.52	[M-H]-	134772839	C43H76NO8P	19.580000000000002
UT03244815	UT_000	UT001213,UT001469,UT001955,UT002209,UT002687,UT002937	819.5200000000001	[M-H]-	134772942	C46H77O10P	9.036666666666667
UT49946781	UT_000	UT001251,UT001992,UT002723	786.5300000000001	[M-H]-	134773528	C42H78NO10P	27.98
UT54704446	UT_000	UT001153,UT001892,UT002625	792.5533333333333	[M-H]-	134773666	C45H80NO8P	30.853333333333335
UT68703471	UT_000	UT001140,UT001389,UT002129,UT002611,UT002858	788.52	[M-H]-	134773889	C45H76NO8P	16.784
UT75914010	UT_000	UT001141,UT001391,UT001879,UT002131,UT002612,UT002860	762.5100000000001	[M-H]-	134774290	C43H74NO8P	13.728333333333333
UT83781827	UT_000	UT001378,UT002119,UT002847	766.54	[M-H]-	134774337	C43H78NO8P	27.603333333333335
UT41628701	UT_000	UT001150,UT001889,UT002622	770.57	[M-H]-	134774665	C43H82NO8P	37.596666666666664
UT00509116	UT_000	UT001218,UT001471,UT001960,UT002211,UT002692,UT002939	841.5	[M-H]-	134775042	C48H75O10P	5.853333333333333
UT36363670	UT_000	UT001390,UT002130,UT002859	738.5099999999999	[M-H]-	134775365	C41H74NO8P	14.936666666666667
UT94743262	UT_000	UT001886,UT002619	782.57	[M-H]-	134775841	C44H82NO8P	34.78
UT02688263	UT_000	UT001893,UT002626	818.57	[M-H]-	134775902	C47H82NO8P	33.795
UT68843818	UT_000	UT001099,UT001355,UT001837,UT002095,UT002568,UT002824	748.4899999999999	[M-H]-	134775923	C42H72NO8P	14.269999999999998
UT44239738	UT_000	UT001449,UT002189,UT002917	758.61	[M-H]-	134776249	C43H86NO7P	45.20666666666667
UT77218852	UT_000	UT001031,UT001768,UT002503	856.61	[M+CH3COO]-	134776554	C45H84NO8P	24.836666666666662
UT27817543	UT_000	UT001004,UT001739,UT002475	810.5300000000001	[M+CH3COO]-	134776595	C42H74NO8P	9.43
UT65073450	UT_000	UT001067,UT001330,UT001804,UT002071,UT002537,UT002799	824.58	[M+CH3COO]-	134776625	C44H80NO7P	21.235
UT88208254	UT_000	UT001108,UT001363,UT001846,UT002103,UT002577,UT002832	766.54	[M-H]-	134776843	C43H78NO8P	23.99333333333333
UT63335686	UT_000	UT001821	566.35	[M+CH3COO]-	134776859	C25H50NO7P	2.36
UT32776919	UT_000	UT001065,UT001802,UT002535	900.67	[M+CH3COO]-	134776903	C48H92NO8P	44.04333333333333
UT16468094	UT_000	UT001411,UT002151,UT002880	746.5099999999999	[M-H]-	134777290	C43H74NO7P	20.533333333333335
UT64166121	UT_000	UT001118,UT001371,UT001856,UT002112,UT002588,UT002840	776.52	[M-H]-	134777294	C44H76NO8P	20.988333333333333
UT02810174	UT_000	UT001297,UT002038,UT002766	868.61	[M+CH3COO]-	134777596	C46H84NO8P	22.853333333333335
