accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM90045133	SM_000	SM800553	185.0608	[M-H]-	254	C12H10O2	9.719
SM83660779	SM_000	SM832651	349.1115	[M-H]-	699	C18H22O5S	12.202
SM56466379	SM_000	SM852253	775.6794	[M-H]-	853	C15H11I4NO4	11.088
SM12909516	SM_000	SM816753	326.7661	[M-H]-	1483	C6H3Br3O	11.937
SM63400420	SM_000	SM837851	218.9621	[M-H]-	1486	C8H6Cl2O3	10.262
SM01929503	SM_000	SM807051,SM882351	183.0047	[M-H]-	1493	C6H4N2O5	6.3004999999999995
SM43888070	SM_000	SM831754	223.0989	[M-H]-	1530	C13H12N4	5.958
SM72012905	SM_000	SM853555	264.0812	[M-H]-	2082	C12H15N3O2S	9.266
SM90214844	SM_000	SM866451	612.7624	[M-H]-	2140	C11H9I3N2O4	1.619
SM43144648	SM_000	SM815654	179.0574	[M-H]-	2153	C7H8N4O2	2.169
SM62986413	SM_000	SM802652	221.0608	[M-H]-	2201	C15H10O2	11.007
SM73964528	SM_000	SM832851	276.0309	[M-H]-	2265	C9H7N7O2S	3.705
SM11467589	SM_000	SM838051	239.0496	[M-H]-	2328	C10H12N2O3S	9.455
SM01412161	SM_000	SM861551	429.0538	[M-H]-	2375	C18H14F4N2O4S	10.964
SM45368897	SM_000	SM818251	439.1524	[M-H]-	2541	C24H20N6O3	11.262
SM65361559	SM_000	SM851653	380.0686	[M-H]-	2662	C17H14F3N3O2S	12.081
SM55389398	SM_000	SM858253	387.1481	[M-H]-	2678	C21H25ClN2O3	10.038
SM74282442	SM_000	SM854751	213.0324	[M-H]-	2797	C10H11ClO3	10.676
SM97030960	SM_000	SM856951	294.0094	[M-H]-	3033	C14H11Cl2NO2	12.225
SM22002028	SM_000	SM865252	266.9985	[M-H]-	3037	C13H10Cl2O2	12.084
SM26691094	SM_000	SM877753	231.0097	[M-H]-	3120	C9H10Cl2N2O	10.126
SM62369459	SM_000	SM851751	424.1546	[M-H]-	3151	C22H24ClN5O2	7.75
SM48440470	SM_000	SM878353	434.9314	[M-H]-	3352	C12H4Cl2F6N4OS	12.263
SM09363289	SM_000	SM859851	305.0968	[M-H]-	3365	C13H12F2N6O	7.17
SM34938298	SM_000	SM856754	275.0649	[M-H]-	3397	C11H11F3N2O3	11.263
SM20409939	SM_000	SM850151	329.0004	[M-H]-	3440	C12H11ClN2O5S	9.167
SM47353706	SM_000	SM851253	489.2177	[M-H]-	3476	C24H34N4O5S	12.512
SM21825858	SM_000	SM851151	492.1365	[M-H]-	3488	C23H28ClN3O5S	12.236
SM33694269	SM_000	SM835553	402.8426	[M-H]-	3598	C13H6Cl6O2	14.274
SM23020885	SM_000	SM861152	356.0695	[M-H]-	3715	C19H16ClNO4	12.301
SM17589904	SM_000	SM818756	427.2252	[M-H]-	3749	C25H28N6O	10.884
SM79337945	SM_000	SM856255	253.087	[M-H]-	3825	C16H14O3	10.829
SM53972457	SM_000	SM818851	327.1714	[M-H]-	3869	C19H24N2O3	7.247
SM95498650	SM_000	SM860053	319.0047	[M-H]-	3958	C15H10Cl2N2O2	10.387
SM17663726	SM_000	SM818951,SM860752	421.1549	[M-H]-	3961	C22H23ClN6O	10.8565
SM01214813	SM_000	SM853455	294.0884	[M-H]-	4030	C16H13N3O3	9.737
SM21798648	SM_000	SM857053	240.103	[M-H]-	4044	C15H15NO2	12.922
SM36418319	SM_000	SM849851	359.1249	[M-H]-	4507	C18H20N2O6	11.651
SM39597516	SM_000	SM833453	344.1074	[M-H]-	4594	C17H19N3O3S	8.138
SM36793326	SM_000	SM860452	285.0436	[M-H]-	4616	C15H11ClN2O2	10.251
