accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EA02874602	EA_000	EA281051,EA281064	557.2457	[M-H]-	60823	C33H35FN2O5	12.5
EA35924585	EA_000	EA258351,EA258364	434.2198	[M-H]-	60846	C24H29N5O3	11.0
EA79923500	EA_000	EA069751	266.1398	[M-H]-	62936	C14H21NO4	3.9
EA81708552	EA_000	EA033751	317.0586	[M-H]-	64929	C17H15ClO4	12.7
EA74301006	EA_000	EA024851	291.0557	[M-H]-	64952	C12H12N4O3S	3.8
EA25450736	EA_000	EA029951	294.0554	[M-H]-	65280	C12H13N3O4S	5.7
EA19238528	EA_000	EA280551,EA280564	513.2296	[M-H]-	65999	C33H30N4O2	9.5
EA78445849	EA_000	EA065451	286.969	[M-H]-	66707	C10H8O6S2	1.2
EA86886177	EA_000	EA024751	319.087	[M-H]-	66855	C14H16N4O3S	4.6
EA61610013	EA_000	EA024951	296.0169	[M-H]-	67183	C11H11N3O3S2	4.3
EA25530164	EA_000	EA271551	312.9728	[M-H]-	67542	C6HF11O2	9.3
EA55256445	EA_000	EA271651	362.9696	[M-H]-	67818	C7HF13O2	11.1
EA64429956	EA_000	EA271851	462.9632	[M-H]-	67821	C9HF17O2	13.9
EA46582798	EA_000	EA067351	161.022	[M-H]-	67874	C7H5F3O	8.9
EA11309327	EA_000	EA284851,EA284864	180.0336	[M-H]-	71158	C5H11NO4S	1.0
EA02529522	EA_000	EA070351,EA070364	395.0073	[M-H]-	71485	C12H19Cl3O8	4.4
EA78401543	EA_000	EA012951,EA012964	409.0936	[M-H]-	73281	C15H18N6O6S	7.0
EA06415807	EA_000	EA012451,EA012464	386.0234	[M-H]-	73674	C12H13N5O6S2	6.9
EA13072671	EA_000	EA271451	262.976	[M-H]-	75921	C5HF9O2	7.3
EA11005248	EA_000	EA080451,EA080464	292.8454	[M-H]-	76857	C7H4Br2O3	7.3
EA50553933	EA_000	EA272251	562.9568	[M-H]-	77222	C11HF21O2	16.3
EA86466447	EA_000	EA273151	525.9775	[M-H]-	77797	C10H6F17NO2S	17.1
