accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
PR92819839	PR_002	PR310745	355.1028	[M+H]+	348159	3.13
PR97972553	PR_002	PR311048	231.1713	[M+H]+	352038	2.66
PR91992843	PR_002	PR310454	357.11801	[M+H]+	354445	3.44
PR19160266	PR_002	PR300657,PR300662,PR300667,PR300672,PR300677,PR300682,PR300687,PR300692,PR300697,PR300702,PR300707,PR300712	637.2908281	[M+H]+	362568	4.2546669999999995
PR78925260	PR_002	PR310416	271.13287	[M+H]+	364707	9.6
PR06533822	PR_002	PR310521	455.14891	[M+H]+	366354	5.81
PR60111114	PR_002	PR310691	389.1438	[M+H]+	369002	3.84
PR16760348	PR_002	PR310976	447.1294	[M+H]+	369636	4.08
PR54720344	PR_002	PR310445	609.29591	[M+H]+	371257	3.76
PR17997537	PR_002	PR310418	391.13874	[M+H]+	393787	4.05
PR24067643	PR_002	PR303946,PR303947,PR303948,PR303949,PR303950,PR303951,PR303952,PR303953,PR303954,PR303955,PR303956,PR303957,PR310444	393.09687935384625	[M+H]+	398934	8.822153538461539
PR17512052	PR_002	PR310628,PR310629	385.21218	[M+H]+	409518	4.765000000000001
PR33901454	PR_002	PR311037	217.1554	[M+H]+	409682	2.15
PR12955178	PR_002	PR310422	1229.5797	[M+H]+	409778	6.99
PR63413081	PR_002	PR310624	369.21727	[M+H]+	415704	5.85
PR35588542	PR_002	PR310582	330.16998	[M+H]+	416119	3.03
PR16602154	PR_002	PR310651	632.30654	[M+H]+	416228	5.61
PR15784749	PR_002	PR310589	337.19105	[M+H]+	418553	5.04
PR08366523	PR_002	PR310635	401.2071	[M+H]+	419781	3.89
PR58680544	PR_002	PR301541,PR301545,PR301549,PR301553,PR301556,PR301560,PR301564,PR301568,PR301572,PR301576,PR301580,PR301584,PR310572	306.1699843384615	[M+H]+	420422	3.9477227692307695
PR64031081	PR_002	PR310726	1065.5511	[M+H-H2O]+	426059	4.91
PR73302376	PR_002	PR301138,PR301142,PR301146,PR301150,PR301154,PR301158,PR301162,PR301166,PR301170,PR301174,PR301178,PR301182,PR310583	330.2063701846154	[M+H]+	431673	3.067323076923077
PR35567026	PR_002	PR303890,PR303899,PR303904,PR303907,PR303914,PR310399	1079.5996508333335	[M+H]+	432450	6.143416666666667
PR56428243	PR_002	PR310400	1109.61022	[M+H]+	432524	5.88
PR19469265	PR_002	PR311047	231.1707	[M+H]+	435949	2.55
PR62833098	PR_002	PR302007,PR302013,PR302019,PR302025,PR302031,PR302037,PR302043,PR302048,PR302054,PR302060,PR302066,PR302071	273.07574990000006	[M+H]+	439246	5.946617000000001
PR30368434	PR_002	PR310816	195.1137	[M+H]+	439476	1.8
PR78458679	PR_002	PR311165	232.1539	[M+H]+	439829	2.18
PR71003479	PR_002	PR311111,PR311112	251.14015	[M+H]+	439877	2.3200000000000003
PR42419334	PR_002	PR311079,PR311080	277.1666	[M+H]+	440362	2.96
PR87650881	PR_002	PR310503	149.05971	[M+H]+	440733	4.53
