inchikey1	num_of_stereo_conf	smiles_can	smiles_iso
WEHHGDMMOQMIKQ	4	CC1CNCCC12CCC(O2)C(=O)NC3=CN=CC=C3	C[C@H]1CNCC[C@]12CC[C@H](O2)C(=O)NC3=CN=CC=C3,C[C@H]1CNCC[C@]12CC[C@@H](O2)C(=O)NC3=CN=CC=C3,C[C@H]1CNCC[C@]12CCC(O2)C(=O)NC3=CN=CC=C3,CC1CNCCC12CCC(O2)C(=O)NC3=CN=CC=C3
RWYKDRLDXTXTRQ	4	CC1C(=CN(C(O1)C)CC2=CC=CC=C2)C=CC(=O)OC	C[C@@H]1C(=CN([C@@H](O1)C)CC2=CC=CC=C2)/C=C/C(=O)OC,C[C@H]1C(=CN([C@@H](O1)C)CC2=CC=CC=C2)/C=C/C(=O)OC,C[C@H]1C(=CN([C@H](O1)C)CC2=CC=CC=C2)/C=C/C(=O)OC,C[C@@H]1C(=CN([C@H](O1)C)CC2=CC=CC=C2)/C=C/C(=O)OC
NRVLSEXRPWZCQQ	4	CC1C(C(C(C(O1)OC2C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O	C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O,C[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@@H]([C@@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)CO)O)O)O)O,CC1[C@@H](C([C@@H]([C@@H](O1)O[C@@H]2[C@@H](O[C@H](C2O)CO)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O
SAAKWLWLDDSXCQ	4	CCCC1=CC(=C(C(=C1)O)C2C=C(CCC2C(=C)C)CO)O	CCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)CO)O,CCCC1=CC(=C(C(=C1)O)[C@H]2C=C(CC[C@@H]2C(=C)C)CO)O,CCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CCC2C(=C)C)CO)O,CCCC1=CC(=C(C(=C1)O)C2C=C(CC[C@@H]2C(=C)C)CO)O
PUXGHHYAWCYESY	4	COC12CCC(CC1N(CC2)CC3=CC=C(C=C3)OCC(=O)O)O	CO[C@@]12CC[C@H](C[C@@H]1N(CC2)CC3=CC=C(C=C3)OCC(=O)O)O,CO[C@@]12CC[C@@H](C[C@@H]1N(CC2)CC3=CC=C(C=C3)OCC(=O)O)O,CO[C@]12CC[C@@H](C[C@H]1N(CC2)CC3=CC=C(C=C3)OCC(=O)O)O,CO[C@]12CC[C@H](C[C@H]1N(CC2)CC3=CC=C(C=C3)OCC(=O)O)O
BBLYVHUNLXIJJS	4	C1C(C(C2=C(O1)C=CC(=C2)O)O)CC3=CNC4=CC=CC=C43	C1C(C(C2=C(O1)C=CC(=C2)O)O)CC3=CNC4=CC=CC=C43,C1[C@@H]([C@H](C2=C(O1)C=CC(=C2)O)O)CC3=CNC4=CC=CC=C43,C1[C@H]([C@@H](C2=C(O1)C=CC(=C2)O)O)CC3=CNC4=CC=CC=C43,C1[C@H]([C@H](C2=C(O1)C=CC(=C2)O)O)CC3=CNC4=CC=CC=C43
SMDDADRJSBRGPP	4	CC(C)CCC(CNC(=O)OC(C)OC(=O)C1=CC=CC=C1)C(=O)O	CC(C)CCC(CNC(=O)OC(C)OC(=O)C1=CC=CC=C1)C(=O)O,C[C@H](OC(=O)C1=CC=CC=C1)OC(=O)NCC(CCC(C)C)C(=O)O,C[C@H](OC(=O)C1=CC=CC=C1)OC(=O)NC[C@H](CCC(C)C)C(=O)O,C[C@@H](OC(=O)C1=CC=CC=C1)OC(=O)NC[C@H](CCC(C)C)C(=O)O
YKHDOFQGDPKTTP	4	CC1CC(=O)CC(N1)C2=CC(=CC=C2)Cl	CC1CC(=O)CC(N1)C2=CC(=CC=C2)Cl,C[C@H]1CC(=O)C[C@H](N1)C2=CC(=CC=C2)Cl,C[C@@H]1CC(=O)C[C@@H](N1)C2=CC(=CC=C2)Cl,C[C@@H]1CC(=O)CC(N1)C2=CC(=CC=C2)Cl
YYIDAYKODBTZGF	4	CC(C1=CC=C(C=C1)N2CCC(C2)OC)N	C[C@@H](C1=CC=C(C=C1)N2CCC(C2)OC)N,CC(C1=CC=C(C=C1)N2CCC(C2)OC)N,C[C@H](C1=CC=C(C=C1)N2CCC(C2)OC)N,C[C@H](C1=CC=C(C=C1)N2CC[C@H](C2)OC)N
MXFOVOCJMWPSNT	4	CC(C)OCCC[NH2+]C(CC(=O)NC1=CN=CC=C1)C(=O)[O-]	CC(C)OCCC[NH2+][C@H](CC(=O)NC1=CN=CC=C1)C(=O)[O-],CC(C)OCCCN[C@H](CC(=O)NC1=CN=CC=C1)C(=O)O,CC(C)OCCCNC(CC(=O)NC1=CN=CC=C1)C(=O)O,CC(C)OCCCN[C@@H](CC(=O)NC1=CN=CC=C1)C(=O)O
ABXRYJUHBBDJEY	4	CCC(=C)C(=O)OC1C=C(CC2C=C(CC3C1C(=C)C(=O)O3)C(=O)O2)C	CCC(=C)C(=O)OC1/C=C(/C[C@@H]2C=C(CC3[C@H]1C(=C)C(=O)O3)C(=O)O2)\C,CCC(=C)C(=O)O[C@@H]1/C=C(/C[C@@H]2C=C(C[C@H]3[C@H]1C(=C)C(=O)O3)C(=O)O2)\C,CCC(=C)C(=O)O[C@@H]1/C=C(/CC2C=C(C[C@H]3[C@H]1C(=C)C(=O)O3)C(=O)O2)\C,CCC(=C)C(=O)O[C@@H]1C=C(C[C@@H]2C=C(C[C@H]3[C@H]1C(=C)C(=O)O3)C(=O)O2)C
CUGRIPGMBGZDIO	4	CC1=CC=C(C=C1)NC(=O)CCN2C(=O)C3C4CCC(C3C2=O)C=C4	CC1=CC=C(C=C1)NC(=O)CCN2C(=O)C3C4CCC(C3C2=O)C=C4,CC1=CC=C(C=C1)NC(=O)CCN2C(=O)[C@@H]3[C@@H]4CC[C@@H]([C@@H]3C2=O)C=C4,CC1=CC=C(C=C1)NC(=O)CCN2C(=O)[C@H]3[C@@H]4CC[C@@H]([C@@H]3C2=O)C=C4,CC1=CC=C(C=C1)NC(=O)CCN2C(=O)[C@@H]3[C@@H]4CC[C@@H]([C@H]3C2=O)C=C4
GAVAQCARFQRZNY	4	CCCCC(C(=O)OC)NC(=O)C1CCOC1	CCCC[C@H](C(=O)OC)NC(=O)[C@H]1CCOC1,CCCC[C@H](C(=O)OC)NC(=O)[C@@H]1CCOC1,CCCC[C@@H](C(=O)OC)NC(=O)[C@H]1CCOC1,CCCC[C@@H](C(=O)OC)NC(=O)[C@@H]1CCOC1
UJTZMAXMIOLNKG	4	CC(CC1=CC=CC=C1)C2C3=CC(=C(C=C3CCN2)OC)OC	C[C@H](CC1=CC=CC=C1)[C@H]2C3=CC(=C(C=C3CCN2)OC)OC,C[C@@H](CC1=CC=CC=C1)[C@@H]2C3=CC(=C(C=C3CCN2)OC)OC,C[C@H](CC1=CC=CC=C1)[C@@H]2C3=CC(=C(C=C3CCN2)OC)OC,C[C@@H](CC1=CC=CC=C1)[C@H]2C3=CC(=C(C=C3CCN2)OC)OC
