inchikey1	num_of_stereo_conf	smiles_can	smiles_iso
MJYJYRUSRDBHGO	4	CC1=C(C(=CC=C1)C)NC(=O)COC(=O)C2CC(=O)N(C2)C(C)C3=CC=CC=C3	CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@@H]2CC(=O)N(C2)[C@@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@H]2CC(=O)N(C2)[C@@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@H]2CC(=O)N(C2)[C@H](C)C3=CC=CC=C3,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)[C@@H]2CC(=O)N(C2)[C@H](C)C3=CC=CC=C3
TWJQZVQNZDQDHV	4	COC1=CC=CC(=C1)C=CC(=O)N2CCCC(C2)C(=O)O	COC1=CC=CC(=C1)/C=C/C(=O)N2CCC[C@H](C2)C(=O)O,COC1=CC=CC(=C1)/C=C/C(=O)N2CCC[C@@H](C2)C(=O)O,COC1=CC=CC(=C1)/C=C/C(=O)N2CCCC(C2)C(=O)O,COC1=CC=CC(=C1)C=CC(=O)N2CCCC(C2)C(=O)O
IEJPCNQNQHXZNG	4	C1C(C(C(OC1(C(=O)O)O)O)O)O	C1C(C(C(OC1(C(=O)O)O)O)O)O,C1[C@@H]([C@H]([C@H](O[C@@]1(C(=O)O)O)O)O)O,C1C(C([C@@H](OC1(C(=O)O)O)O)O)O,C1[C@H](C([C@@H](OC1(C(=O)O)O)O)O)O
WOGDAAPNOVKWJT	4	CCN1C=CC=C1C(=CCCN2CCCC(C2)C(=O)O)C3=CC=CC=C3	CCN1C=CC=C1C(=CCCN2CCC[C@H](C2)C(=O)O)C3=CC=CC=C3,CCN1C=CC=C1C(=CCCN2CCCC(C2)C(=O)O)C3=CC=CC=C3,CCN1C=CC=C1/C(=C/CCN2CCC[C@H](C2)C(=O)O)/C3=CC=CC=C3,CCN1C=CC=C1/C(=C/CCN2CCCC(C2)C(=O)O)/C3=CC=CC=C3
NTJLQGQXAXJSBS	4	CCC(C)C(C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3	CC[C@H](C)[C@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@@H](C)[C@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@H](C)[C@@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC[C@@H](C)[C@@H](C(=O)O)NC(=O)CC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3
XWFZNWNGKWPCIP	4	CC1COCCN1C(=O)C2CCCC2C(=O)O	CC1COCCN1C(=O)C2CCCC2C(=O)O,CC1COCCN1C(=O)[C@@H]2CCC[C@@H]2C(=O)O,C[C@@H]1COCCN1C(=O)[C@@H]2CCC[C@@H]2C(=O)O,C[C@@H]1COCCN1C(=O)C2CCCC2C(=O)O
JDXYUTWNVLYVBQ	4	CCC1C(N1C)C	CCC1C(N1C)C,CC[C@@H]1[C@@H](N1C)C,CCC1[C@H](N1C)C,CCC1[C@@H](N1C)C
MNOLFWMZLYRGTE	4	C(C1C(C(C(C(O1)OC2C(C(OC(C2O)OCC3C(C(C(O3)(CO)O)O)O)CO)O)O)O)O)O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@@H]([C@@H]2O)OC[C@@H]3[C@H]([C@@H](C(O3)(CO)O)O)O)CO)O)O)O)O)O,C([C@@H]1[C@@H](C(C(O1)(CO)O)O)O)O[C@H]2C([C@H]([C@H](C(O2)CO)O)O[C@H]3C([C@H]([C@H](C(O3)CO)O)O)O)O,C([C@@H]1[C@@H](C([C@](O1)(CO)O)O)O)O[C@@H]2C([C@H]([C@@H](C(O2)CO)O)O[C@H]3C([C@H]([C@H](C(O3)CO)O)O)O)O,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@@H]([C@@H]2O)OC[C@@H]3[C@H]([C@@H]([C@](O3)(CO)O)O)O)CO)O)O)O)O)O
ZLVWGGKFPHDGDQ	4	CC1(C2CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O	C[C@]1([C@@H]2CC[C@@]3(C1[C@@H]([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@H]2CC[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@H]2CC[C@@]3(C1[C@@H]([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O,C[C@]1([C@@H]2CC[C@@]3(C1C([C@]45C3CC[C@H](C4)C(=C)C5)C(=O)O)C(O2)O)C(=O)O
HCPLNUKWBUGHCG	4	CCCCC1(CCCC2(C13CC(CC2)C(O3)(C)C)C)O	CCCCC1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@]1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@@]1(CCC[C@@]2([C@]13C[C@@H](CC2)C(O3)(C)C)C)O,CCCC[C@]1(CCC[C@]2(C13CC(CC2)C(O3)(C)C)C)O
ZXSBOKDQSLQTEK	4	CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)CC(=O)N	CN1C[C@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CC(=O)N,CN1CC(C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CC(=O)N,CN1C[C@@H](C=C2[C@H]1CC3=CNC4=CC=CC2=C34)CC(=O)N,CN1CC(C=C2[C@@H]1CC3=CNC4=CC=CC2=C34)CC(=O)N
WDRRGARDLSTOOT	4	CC1C(C(CC(O1)C(C)C)(C)OC)(CNC2CC2)O	CC1C(C(CC(O1)C(C)C)(C)OC)(CNC2CC2)O,CC1C(C(C[C@@H](O1)C(C)C)(C)OC)(CNC2CC2)O,C[C@H]1[C@]([C@](C[C@@H](O1)C(C)C)(C)OC)(CNC2CC2)O,CC1[C@](C(C[C@@H](O1)C(C)C)(C)OC)(CNC2CC2)O
KLKWMZSSPNPJDR	4	CC1=C2CCC3C2N(CCCC3)C(=O)O1	CC1=C2CC[C@@H]3[C@H]2N(CCCC3)C(=O)O1,CC1=C2CC[C@H]3[C@@H]2N(CCCC3)C(=O)O1,CC1=C2CC[C@@H]3[C@@H]2N(CCCC3)C(=O)O1,CC1=C2CC[C@H]3[C@H]2N(CCCC3)C(=O)O1
VVKXTLBUVPMIFD	4	CC(C(=O)OCCOC(=O)C(C)OC(=O)C1=CC=CC=C1OC(=O)C)OC(=O)C2=CC=CC=C2OC(=O)C	C[C@@H](C(=O)OCCOC(=O)[C@H](C)OC(=O)C1=CC=CC=C1OC(=O)C)OC(=O)C2=CC=CC=C2OC(=O)C,C[C@H](C(=O)OCCOC(=O)[C@@H](C)OC(=O)C1=CC=CC=C1OC(=O)C)OC(=O)C2=CC=CC=C2OC(=O)C,C[C@H](C(=O)OCCOC(=O)[C@H](C)OC(=O)C1=CC=CC=C1OC(=O)C)OC(=O)C2=CC=CC=C2OC(=O)C,CC(C(=O)OCCOC(=O)C(C)OC(=O)C1=CC=CC=C1OC(=O)C)OC(=O)C2=CC=CC=C2OC(=O)C
GJWMWJZASNBDFF	4	COC(C1=CC=CC=C1)C(=O)NC(CC=CC2=CC=CC=C2)C(=O)O	CO[C@@H](C1=CC=CC=C1)C(=O)N[C@H](C/C=C/C2=CC=CC=C2)C(=O)O,CO[C@H](C1=CC=CC=C1)C(=O)N[C@H](C/C=C/C2=CC=CC=C2)C(=O)O,CO[C@@H](C1=CC=CC=C1)C(=O)N[C@@H](C/C=C/C2=CC=CC=C2)C(=O)O,CO[C@H](C1=CC=CC=C1)C(=O)N[C@@H](C/C=C/C2=CC=CC=C2)C(=O)O
XGNBIYXILDDDQR	4	CC(C)(C)C(C(=O)N1CCCC1C#N)N	CC(C)(C)[C@@H](C(=O)N1CCC[C@H]1C#N)N,CC(C)(C)C(C(=O)N1CCCC1C#N)N,CC(C)(C)C(C(=O)N1CCC[C@H]1C#N)N,CC(C)(C)[C@@H](C(=O)N1CCCC1C#N)N
UUUBPGYCESLNRB	4	CCCCCCC1CCCC(C(O1)OC)C	CCCCCC[C@H]1CCC[C@@H]([C@@H](O1)OC)C,CCCCCC[C@H]1CCC[C@H]([C@H](O1)OC)C,CCCCCC[C@H]1CCC[C@@H]([C@H](O1)OC)C,CCCCCC[C@H]1CCC[C@H]([C@@H](O1)OC)C
HOKUKDGUBQCUIW	4	CC1=CCC2C1C(C(CC(C2=C)O)C(C)CCC=C(C)C)O	CC1=CC[C@@H]2[C@@H]1[C@@H]([C@@H](C[C@H](C2=C)O)[C@H](C)CCC=C(C)C)O,CC1=CC[C@@H]2[C@@H]1[C@@H]([C@@H](C[C@@H](C2=C)O)[C@H](C)CCC=C(C)C)O,CC1=CC[C@@H]2[C@@H]1C(C(CC(C2=C)O)C(C)CCC=C(C)C)O,CC1=CC[C@@H]2[C@@H]1[C@@H]([C@@H](C[C@@H](C2=C)O)C(C)CCC=C(C)C)O
BRRICEBNLJZUMB	4	COC(=O)CC1CC1CC(=O)OC	COC(=O)CC1CC1CC(=O)OC,COC(=O)C[C@H]1C[C@@H]1CC(=O)OC,COC(=O)C[C@@H]1C[C@H]1CC(=O)OC,COC(=O)C[C@H]1C[C@H]1CC(=O)OC
LYYPAXPXBHEXEJ	4	CC1=CC(=O)NC(=N1)CCNC(=O)C2CCCC(C2)O	CC1=CC(=O)NC(=N1)CCNC(=O)[C@H]2CCC[C@H](C2)O,CC1=CC(=O)NC(=N1)CCNC(=O)[C@H]2CCC[C@@H](C2)O,CC1=CC(=O)NC(=N1)CCNC(=O)[C@@H]2CCC[C@@H](C2)O,CC1=CC(=O)NC(=N1)CCNC(=O)[C@@H]2CCC[C@H](C2)O
FDCNQPKLMMIZPL	4	CC(C)(C)C1(C(CC1=O)C2=CC=C(C=C2)[N+](=O)[O-])C#N	CC(C)(C)[C@]1([C@H](CC1=O)C2=CC=C(C=C2)[N+](=O)[O-])C#N,CC(C)(C)[C@@]1([C@@H](CC1=O)C2=CC=C(C=C2)[N+](=O)[O-])C#N,CC(C)(C)[C@]1([C@@H](CC1=O)C2=CC=C(C=C2)[N+](=O)[O-])C#N,CC(C)(C)[C@@]1([C@H](CC1=O)C2=CC=C(C=C2)[N+](=O)[O-])C#N
FXEBSOJGDODTFR	4	CC1=CC(=CC=C1)C(C)NC(=O)C2C(C2(C)C)C(=O)O	CC1=CC(=CC=C1)[C@H](C)NC(=O)C2C(C2(C)C)C(=O)O,CC1=CC(=CC=C1)[C@@H](C)NC(=O)C2C(C2(C)C)C(=O)O,CC1=CC(=CC=C1)[C@@H](C)NC(=O)[C@H]2[C@H](C2(C)C)C(=O)O,CC1=CC(=CC=C1)[C@H](C)NC(=O)[C@H]2[C@H](C2(C)C)C(=O)O
NLLSVKJCTSHIHX	4	CC1CN(CC(O1)C)C(=O)C2=C(ON=C2C)C	CC1CN(CC(O1)C)C(=O)C2=C(ON=C2C)C,C[C@@H]1CN(C[C@@H](O1)C)C(=O)C2=C(ON=C2C)C,C[C@@H]1CN(C[C@H](O1)C)C(=O)C2=C(ON=C2C)C,C[C@H]1CN(C[C@@H](O1)C)C(=O)C2=C(ON=C2C)C
OKYPZXYLZZJAMB	4	CC1C2C3CCC4C5(CCC(C(C5CCC4(C3(CCC26CCC1(OC6=O)C)CO)C)(C)C)O)C	C[C@H]1C2[C@H]3CC[C@@H]4[C@]5(CC[C@H](C(C5CC[C@]4([C@@]3(CC[C@@]26CC[C@@]1(OC6=O)C)CO)C)(C)C)O)C,C[C@H]1[C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@H](C([C@@H]5CC[C@]4([C@@]3(CC[C@@]26CC[C@]1(OC6=O)C)CO)C)(C)C)O)C,C[C@H]1[C@@H]2[C@H]3CC[C@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@@]4([C@@]3(CCC26CCC1(OC6=O)C)CO)C)(C)C)O)C,CC1C2[C@H]3CC[C@@H]4[C@]5(CC[C@H](C(C5CC[C@]4([C@@]3(CC[C@@]26CC[C@@]1(OC6=O)C)CO)C)(C)C)O)C
FCRNJVWCFGOING	4	CC12C3CCCCC3(CCC1=O)OC2=O	C[C@]12[C@@H]3CCCC[C@@]3(CCC1=O)OC2=O,C[C@]12[C@H]3CCCC[C@@]3(CCC1=O)OC2=O,CC12[C@H]3CCCC[C@@]3(CCC1=O)OC2=O,CC12[C@@H]3CCCC[C@@]3(CCC1=O)OC2=O
ILZUUOHDKPIIEG	4	CCN(CC)CCN1C(=O)C2CC=CCC2C1=O	CCN(CC)CCN1C(=O)C2CC=CCC2C1=O,CCN(CC)CCN1C(=O)[C@@H]2CC=CC[C@@H]2C1=O,CCN(CC)CCN1C(=O)[C@H]2CC=CC[C@@H]2C1=O,CCN(CC)CCN1C(=O)[C@@H]2CC=CC[C@H]2C1=O
XHKUNKCBNBTKMV	4	CC1=CC=C(C=C1)C2C3C4CCC(C4)C3C5=C(N2)C=CC(=C5)[N+](=O)[O-]	CC1=CC=C(C=C1)[C@H]2[C@@H]3[C@H]4CC[C@@H](C4)[C@H]3C5=C(N2)C=CC(=C5)[N+](=O)[O-],CC1=CC=C(C=C1)[C@H]2[C@H]3[C@H]4CC[C@@H](C4)[C@H]3C5=C(N2)C=CC(=C5)[N+](=O)[O-],CC1=CC=C(C=C1)[C@H]2[C@@H]3[C@H]4CC[C@@H](C4)[C@@H]3C5=C(N2)C=CC(=C5)[N+](=O)[O-],CC1=CC=C(C=C1)[C@H]2[C@H]3[C@H]4CC[C@@H](C4)[C@@H]3C5=C(N2)C=CC(=C5)[N+](=O)[O-]
STYWEPZYOZRDKN	4	CC(=C)C1=NOC(C1)C(CNC(C)(C)C)O	CC(=C)C1=NO[C@H](C1)[C@@H](CNC(C)(C)C)O,CC(=C)C1=NO[C@@H](C1)[C@@H](CNC(C)(C)C)O,CC(=C)C1=NO[C@H](C1)[C@H](CNC(C)(C)C)O,CC(=C)C1=NO[C@@H](C1)[C@H](CNC(C)(C)C)O
FPAIARJOORYYIW	4	C1CC=CCC(OC(C1)COCC2=CC=CC=C2)C(COCC3=CC=CC=C3)O	C1C/C=C\C[C@H](O[C@H](C1)COCC2=CC=CC=C2)[C@H](COCC3=CC=CC=C3)O,C1C/C=C\C[C@H](O[C@@H](C1)COCC2=CC=CC=C2)[C@H](COCC3=CC=CC=C3)O,C1C/C=C\C[C@H](O[C@H](C1)COCC2=CC=CC=C2)[C@@H](COCC3=CC=CC=C3)O,C1C/C=C\C[C@H](O[C@@H](C1)COCC2=CC=CC=C2)[C@@H](COCC3=CC=CC=C3)O
KUTFWJRWOVJIAZ	4	CC(C)C1CCC23C=CC(O2)C(=C)C3C1=O	CC(C)[C@@H]1CC[C@@]23C=C[C@@H](O2)C(=C)[C@H]3C1=O,CC(C)[C@@H]1CC[C@]23C=C[C@H](O2)C(=C)[C@@H]3C1=O,CC(C)C1CCC23C=CC(O2)C(=C)C3C1=O,CC(C)[C@@H]1CC[C@]23C=C[C@@H](O2)C(=C)[C@@H]3C1=O
PPRZAUPKKFAUBK	4	C1CCC2C(C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NC(=O)C4=CC=CO4)Cl	C1CCC2C(C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NC(=O)C4=CC=CO4)Cl,C1CC[C@@H]2[C@@H](C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NC(=O)C4=CC=CO4)Cl,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NC(=O)C4=CC=CO4)Cl,C1CC[C@H]2[C@H](C1)C(=O)N(C2=O)C3=CC(=C(C=C3)NC(=O)C4=CC=CO4)Cl
RBINZPBGLGRZQD	4	CCC12CCC3C4CCC(=NO)C=C4C(CC3C1C5CC5C26C=CC(O6)OC)CO	CC[C@]12CCC3[C@H]4CC/C(=N\O)/C=C4[C@H](CC3C1[C@@H]5C[C@@H]5[C@@]26C=CC(O6)OC)CO,CC[C@]12CCC3[C@H]4CC/C(=N\O)/C=C4[C@H](CC3C1[C@H]5C[C@H]5[C@@]26C=CC(O6)OC)CO,CC[C@]12CCC3[C@H]4CC/C(=N\O)/C=C4[C@@H](CC3C1[C@@H]5C[C@@H]5[C@@]26C=CC(O6)OC)CO,CC[C@]12CCC3[C@H]4CC/C(=N\O)/C=C4[C@@H](CC3C1[C@H]5C[C@H]5[C@@]26C=CC(O6)OC)CO
KTNNLBFSSFIIHR	4	CC1(CC2CC(C1)(CN2C(=O)COC(=O)C3=CC=C(C=C3)C#N)C)C	C[C@]12C[C@H](CC(C1)(C)C)N(C2)C(=O)COC(=O)C3=CC=C(C=C3)C#N,C[C@@]12C[C@@H](CC(C1)(C)C)N(C2)C(=O)COC(=O)C3=CC=C(C=C3)C#N,CC1(CC2CC(C1)(CN2C(=O)COC(=O)C3=CC=C(C=C3)C#N)C)C,C[C@]12C[C@@H](CC(C1)(C)C)N(C2)C(=O)COC(=O)C3=CC=C(C=C3)C#N
LLNZAZIIJRWQOO	4	CC(=O)C1(CC(C2=C(C3=C(C=C2C1)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O	CC(=O)C1(CC(C2=C(C3=C(C=C2C1)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O,CC(=O)[C@]1(C[C@H](C2=C(C3=C(C=C2C1)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O,CC(=O)[C@@]1(C[C@H](C2=C(C3=C(C=C2C1)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O,CC(=O)[C@@]1(C[C@@H](C2=C(C3=C(C=C2C1)C(=O)C4=C(C3=O)C=CC=C4O)O)O)O
QNALBGXEDKSBRJ	4	CC(=CCC(C(=O)O)NC(=O)C1CCCO1)C	CC(=CC[C@H](C(=O)O)NC(=O)[C@H]1CCCO1)C,CC(=CC[C@H](C(=O)O)NC(=O)[C@@H]1CCCO1)C,CC(=CC[C@@H](C(=O)O)NC(=O)[C@H]1CCCO1)C,CC(=CC[C@@H](C(=O)O)NC(=O)[C@@H]1CCCO1)C
QWBQUOQMFNGRKD	4	CC(CC(C(=O)OC)NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)C(=O)OC	C[C@H](C[C@H](C(=O)OC)NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)C(=O)OC,C[C@@H](C[C@H](C(=O)OC)NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)C(=O)OC,C[C@H](C[C@@H](C(=O)OC)NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)C(=O)OC,C[C@@H](C[C@@H](C(=O)OC)NC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2)C(=O)OC
KJWRXOBRIVSVBE	4	CC1CC=C(CCC(=O)NC(COC1=O)C2=CC=CC=C2)C	C[C@@H]1CC=C(CCC(=O)N[C@@H](COC1=O)C2=CC=CC=C2)C,C[C@@H]1C/C=C(\CCC(=O)N[C@@H](COC1=O)C2=CC=CC=C2)/C,C[C@@H]1CC=C(CCC(=O)NC(COC1=O)C2=CC=CC=C2)C,C[C@@H]1C/C=C(/CCC(=O)NC(COC1=O)C2=CC=CC=C2)\C
BRPIIFJACDUDMC	4	CCOC1=C(C=C(C=C1)C=CC(=O)N2CCCC2C3=CC=CC=C3)OC	CCOC1=C(C=C(C=C1)/C=C/C(=O)N2CCC[C@@H]2C3=CC=CC=C3)OC,CCOC1=C(C=C(C=C1)/C=C/C(=O)N2CCC[C@H]2C3=CC=CC=C3)OC,CCOC1=C(C=C(C=C1)/C=C/C(=O)N2CCCC2C3=CC=CC=C3)OC,CCOC1=C(C=C(C=C1)C=CC(=O)N2CCCC2C3=CC=CC=C3)OC
WBNCWDLGNHPASY	4	CC1CN(CC(O1)C)CC2=CC=C(C=C2)C(=O)NC3=C(N=CC=C3)N4C=CC=N4	C[C@@H]1CN(C[C@H](O1)C)CC2=CC=C(C=C2)C(=O)NC3=C(N=CC=C3)N4C=CC=N4,C[C@@H]1CN(C[C@@H](O1)C)CC2=CC=C(C=C2)C(=O)NC3=C(N=CC=C3)N4C=CC=N4,C[C@H]1CN(C[C@@H](O1)C)CC2=CC=C(C=C2)C(=O)NC3=C(N=CC=C3)N4C=CC=N4,CC1CN(CC(O1)C)CC2=CC=C(C=C2)C(=O)NC3=C(N=CC=C3)N4C=CC=N4
SZIHGCPBWLQOCQ	4	C1=CC=C(C=C1)CC(C(CNCC2=CC=CC=C2)O)N	C1=CC=C(C=C1)C[C@H]([C@H](CNCC2=CC=CC=C2)O)N,C1=CC=C(C=C1)CC(C(CNCC2=CC=CC=C2)O)N,C1=CC=C(C=C1)C[C@@H]([C@@H](CNCC2=CC=CC=C2)O)N,C1=CC=C(C=C1)CC([C@@H](CNCC2=CC=CC=C2)O)N
FEEFHPDGQQTWSM	4	C=CCC(C(=O)N)NC(=O)C1CCOC1	C=CC[C@H](C(=O)N)NC(=O)[C@H]1CCOC1,C=CC[C@H](C(=O)N)NC(=O)[C@@H]1CCOC1,C=CC[C@@H](C(=O)N)NC(=O)[C@H]1CCOC1,C=CC[C@@H](C(=O)N)NC(=O)[C@@H]1CCOC1
GFDZUFIBPNGBLL	4	CC1CN(CC(O1)C)C(=O)NCC2=CC=C(C=C2)CS(=O)(=O)N	CC1CN(CC(O1)C)C(=O)NCC2=CC=C(C=C2)CS(=O)(=O)N,C[C@@H]1CN(C[C@@H](O1)C)C(=O)NCC2=CC=C(C=C2)CS(=O)(=O)N,C[C@H]1CN(C[C@@H](O1)C)C(=O)NCC2=CC=C(C=C2)CS(=O)(=O)N,C[C@@H]1CN(C[C@H](O1)C)C(=O)NCC2=CC=C(C=C2)CS(=O)(=O)N
PGELLEGAOLAUGW	4	C1CN2CC(C3=C(C2C(=O)N1)C=CC=C3O)C4=CC=CC=C4	C1CN2CC(C3=C(C2C(=O)N1)C=CC=C3O)C4=CC=CC=C4,C1CN2C[C@H](C3=C([C@@H]2C(=O)N1)C=CC=C3O)C4=CC=CC=C4,C1CN2C[C@@H](C3=C([C@H]2C(=O)N1)C=CC=C3O)C4=CC=CC=C4,C1CN2C[C@H](C3=C([C@H]2C(=O)N1)C=CC=C3O)C4=CC=CC=C4
ZVYMFLOOXKNBBC	4	C1C(C(C(C2=CC=CC=C21)O)O)O	C1[C@H]([C@@H]([C@@H](C2=CC=CC=C21)O)O)O,C1[C@@H]([C@H]([C@H](C2=CC=CC=C21)O)O)O,C1C(C(C(C2=CC=CC=C21)O)O)O,C1[C@H]([C@@H]([C@H](C2=CC=CC=C21)O)O)O
GPMRXTWKIIXGRQ	4	CCOC1=CC=C(C=C1)C(C(C)N2CCCC2)O	CCOC1=CC=C(C=C1)[C@H]([C@@H](C)N2CCCC2)O,CCOC1=CC=C(C=C1)[C@@H]([C@@H](C)N2CCCC2)O,CCOC1=CC=C(C=C1)[C@@H]([C@H](C)N2CCCC2)O,CCOC1=CC=C(C=C1)[C@H]([C@H](C)N2CCCC2)O
SUNGAGNYNPZEKV	4	CCCOC1=NC2=CC=CC=C2N=C1N3CC(OC(C3)C)C	CCCOC1=NC2=CC=CC=C2N=C1N3C[C@H](O[C@H](C3)C)C,CCCOC1=NC2=CC=CC=C2N=C1N3C[C@H](O[C@@H](C3)C)C,CCCOC1=NC2=CC=CC=C2N=C1N3C[C@@H](O[C@H](C3)C)C,CCCOC1=NC2=CC=CC=C2N=C1N3CC(OC(C3)C)C
PZICKINIOPPAGP	4	C1C(C2C(C2C1(C(=O)O)N)C(=O)O)SC3=NNC(=N3)N	C1[C@@H]([C@H]2[C@@H]([C@H]2[C@@]1(C(=O)O)N)C(=O)O)SC3=NNC(=N3)N,C1[C@H]([C@H]2[C@@H]([C@H]2[C@@]1(C(=O)O)N)C(=O)O)SC3=NNC(=N3)N,C1[C@@H](C2[C@@H](C2[C@@]1(C(=O)O)N)C(=O)O)SC3=NNC(=N3)N,C1C(C2[C@@H]([C@H]2[C@@]1(C(=O)O)N)C(=O)O)SC3=NNC(=N3)N
QRUDOMCYYWZGDT	4	CC(CN1CCC2C(C1)OC(O2)(C)C)O	C[C@H](CN1CC[C@H]2[C@@H](C1)OC(O2)(C)C)O,CC(CN1CCC2C(C1)OC(O2)(C)C)O,CC(CN1CCC2[C@@H](C1)OC(O2)(C)C)O,C[C@H](CN1CC[C@H]2C(C1)OC(O2)(C)C)O
TVJZRHHUGFVBCQ	4	CC12CCCC(C1CCC3(C2CCC4=C3C(=O)OC4OC)C)(C)C(=O)O	C[C@]12CCC[C@](C1CC[C@@]3(C2CCC4=C3C(=O)O[C@@H]4OC)C)(C)C(=O)O,C[C@]12CCC[C@](C1CC[C@@]3(C2CCC4=C3C(=O)O[C@H]4OC)C)(C)C(=O)O,C[C@]12CCC[C@]([C@@H]1CC[C@@]3([C@@H]2CCC4=C3C(=O)O[C@@H]4OC)C)(C)C(=O)O,C[C@]12CCC[C@]([C@@H]1CC[C@@]3([C@@H]2CCC4=C3C(=O)O[C@H]4OC)C)(C)C(=O)O
AORHCDNTOFUFGO	4	C1COC(CC1N)CO	C1COC(CC1N)CO,C1CO[C@H](C[C@H]1N)CO,C1CO[C@@H](C[C@H]1N)CO,C1CO[C@@H](C[C@@H]1N)CO
YPAZQSLJIXJETN	4	CC1CCCCC1NC(=O)COC(=O)C2=CC=C(C=C2)C=O	C[C@H]1CCCC[C@H]1NC(=O)COC(=O)C2=CC=C(C=C2)C=O,C[C@@H]1CCCC[C@H]1NC(=O)COC(=O)C2=CC=C(C=C2)C=O,C[C@H]1CCCC[C@@H]1NC(=O)COC(=O)C2=CC=C(C=C2)C=O,C[C@@H]1CCCC[C@@H]1NC(=O)COC(=O)C2=CC=C(C=C2)C=O
LVYVQTLHCDZDMR	4	C1=CC=C(C=C1)COC2=CC=C(C=C2)C=NN=C(C3=CC=CC=C3)C(=O)C4=CC=CC=C4	C1=CC=C(C=C1)COC2=CC=C(C=C2)C=NN=C(C3=CC=CC=C3)C(=O)C4=CC=CC=C4,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=N\N=C(/C3=CC=CC=C3)\C(=O)C4=CC=CC=C4,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=N\N=C(\C3=CC=CC=C3)/C(=O)C4=CC=CC=C4,C1=CC=C(C=C1)COC2=CC=C(C=C2)/C=N/N=C(\C3=CC=CC=C3)/C(=O)C4=CC=CC=C4
HILLWQQEHFDRAC	4	CC(C(=O)C=CN(C)C)SC	CC(C(=O)C=CN(C)C)SC,CC(C(=O)/C=C/N(C)C)SC,C[C@@H](C(=O)/C=C/N(C)C)SC,C[C@H](C(=O)/C=C/N(C)C)SC
PZXZVDPNQRDPIG	4	CC1CN(CC(O1)C)C2=C(C=C(C=C2)C)N	CC1CN(CC(O1)C)C2=C(C=C(C=C2)C)N,C[C@@H]1CN(C[C@@H](O1)C)C2=C(C=C(C=C2)C)N,C[C@@H]1CN(C[C@H](O1)C)C2=C(C=C(C=C2)C)N,C[C@H]1CN(C[C@@H](O1)C)C2=C(C=C(C=C2)C)N
