accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
EQ52235925	EQ_004	EQ302301,EQ302302,EQ302303,EQ302304,EQ302305,EQ302306	326.0855000000001	[M+H]+	4192	C18H13ClFN3	6.5
EQ42273343	EQ_004	EQ332001,EQ332002,EQ332003,EQ332004,EQ332005,EQ332006	326.9934	[M+H]+	4477	C13H8Cl2N2O4	15.6
EQ85115827	EQ_004	EQ302401,EQ302402,EQ302403,EQ302404,EQ302405,EQ302406	414.1547	[M+H]+	4544	C22H23NO7	5.3999999999999995
EQ39609827	EQ_004	EQ307301,EQ307302,EQ307303,EQ307304,EQ307305,EQ307306	362.1511	[M+H]+	4583	C18H20FN3O4	4.1000000000000005
EQ18510981	EQ_004	EQ312801,EQ312802,EQ312803,EQ312804,EQ312805,EQ312806	266.1751	[M+H]+	4631	C15H23NO3	5.8
EQ13672857	EQ_004	EQ302501,EQ302502,EQ302503,EQ302504,EQ302505,EQ302506	358.2377000000001	[M+H]+	4634	C22H31NO3	8.9
EQ15746628	EQ_004	EQ306601,EQ306602,EQ306603,EQ306604,EQ306605,EQ306606	129.01019999999997	[M+H]+	4684	C6H5ClO	7.3
EQ76998585	EQ_004	EQ300401,EQ300402,EQ300403,EQ300404,EQ300405,EQ300406	160.11210000000003	[M+H]+	4688	C11H13N	2.8000000000000003
EQ50174709	EQ_004	EQ328601,EQ328602,EQ328603,EQ328604,EQ328605,EQ328606	357.1267	[M+H]+	4829	C19H20N2O3S	6.0
EQ38766540	EQ_004	EQ307501,EQ307502,EQ307503,EQ307504,EQ307505,EQ307506	304.1404	[M+H]+	4831	C14H17N5O3	3.6
EQ69090575	EQ_004	EQ307601,EQ307602,EQ307603,EQ307604,EQ307605,EQ307606	143.0815	[M+H]+	4843	C6H10N2O2	1.0999999999999999
EQ38278867	EQ_004	EQ327201,EQ327202,EQ327203,EQ327204,EQ327205,EQ327206	313.1911	[M+H]+	4891	C19H24N2O2	10.1
EQ54277726	EQ_004	EQ314101,EQ314102,EQ314103,EQ314104,EQ314105,EQ314106	221.1648	[M+H]+	4906	C13H20N2O	4.5
EQ61588845	EQ_004	EQ300901,EQ300902,EQ300903,EQ300904,EQ300905,EQ300906	260.1757	[M+H]+	4908	C15H21N3O	6.3999999999999995
EQ45380682	EQ_004	EQ305101,EQ305102,EQ305103,EQ305104,EQ305105,EQ305106	218.01340000000002	[M+H]+	4933	C9H9Cl2NO	10.299999999999999
EQ46898462	EQ_004	EQ017101,EQ017102,EQ017103,EQ017104,EQ017105,EQ017106	260.1644999999999	[M+H]+	4946	C16H21NO2	6.6000000000000005
EQ15307880	EQ_004	EQ300601,EQ300602,EQ300603,EQ300604,EQ300605,EQ300606	286.1914	[M+H]+	4992	C17H23N3O	5.2
EQ51653050	EQ_004	EQ314901,EQ314902,EQ314903,EQ314904,EQ314905,EQ314906	180.1747	[M+H]+	5071	C12H21N	6.5
EQ49883039	EQ_004	EQ302701,EQ302702,EQ302703,EQ302704,EQ302705,EQ302706	342.14820000000003	[M+H]+	5355	C15H23N3O4S	1.7
EQ93210828	EQ_004	EQ318001,EQ318002,EQ318003,EQ318004,EQ318005,EQ318006	202.04330000000002	[M+H]+	5430	C10H7N3S	4.2
EQ02815714	EQ_004	EQ302801,EQ302802,EQ302803,EQ302804,EQ302805,EQ302806	329.153	[M+H]+	5467	C15H24N2O4S	2.6
EQ87576166	EQ_004	EQ302901,EQ302902,EQ302903,EQ302904,EQ302905,EQ302906	264.0608	[M+H]+	5472	C14H14ClNS	5.2
EQ43103738	EQ_004	EQ313101,EQ313102,EQ313103,EQ313104,EQ313105,EQ313106	308.1104	[M+H]+	5510	C19H17NOS	15.0
