accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
UF85666701	UF_003	UF407301,UF407302	323.0196	[M+H]+	298	19.347
UF01995490	UF_003	UF406601,UF406602	231.1016	[M+H]+	1302	24.337
UF09490434	UF_003	UF409101,UF409102	152.0706	[M+H]+	1983	8.61
UF19812931	UF_003	UF414701,UF414702	152.1434	[M+H]+	2130	15.657
UF49158262	UF_003	UF408301,UF408302	204.1131	[M+H]+	2151	7.553
UF19917034	UF_003	UF406801,UF406802	189.1022	[M+H]+	2206	16.961
UF88999388	UF_003	UF407601,UF407602	267.1703	[M+H]+	2249	6.668
UF72881487	UF_003	UF403301,UF403302	216.101	[M+H]+	2256	23.294
UF87358811	UF_003	UF402401,UF402402	224.0917	[M+H]+	2314	21.559
UF09713697	UF_003	UF408901,UF408902	195.0877	[M+H]+	2519	15.78
UF63738365	UF_003	UF408101,UF408102	455.2904	[M+H]+	2520	20.942
UF89533513	UF_003	UF411001,UF411002	389.1626	[M+H]+	2678	22.999
UF32581866	UF_003	UF411801,UF411802	325.1711	[M+H]+	2771	19.979
UF06861623	UF_003	UF411901,UF411902	261.0321	[M+H]+	2907	20.254
UF10731117	UF_003	UF408401,UF408402	285.0789	[M+H]+	3016	24.416
UF65848833	UF_003	UF400601,UF400602	305.1083	[M+H]+	3017	26.263
UF16003386	UF_003	UF418001,UF418002	279.1591	[M+H]+	3026	27.06
UF27437159	UF_003	UF409301,UF409302	296.024	[M+H]+	3033	25.979
UF62227201	UF_003	UF400101,UF400102	220.9532	[M+H]+	3039	21.401
UF53614183	UF_003	UF400301,UF400302	230.0069	[M+H]+	3082	18.113
UF71791413	UF_003	UF402701,UF402702	384.9949	[M+H]+	3286	27.505
UF15810955	UF_003	UF411401,UF411402	172.1332	[M+H]+	3446	11.872
UF07977120	UF_003	UF410201,UF410202	235.1805	[M+H]+	3676	14.456
UF52112859	UF_003	UF407101,UF407102	231.1492	[M+H]+	3778	22.25
UF61069565	UF_003	UF408601,UF408602	255.1016	[M+H]+	3825	23.842
UF64847468	UF_003	UF409401,UF409402	242.1176	[M+H]+	4044	27.002
UF92364182	UF_003	UF412401,UF412402	130.1087	[M+H]+	4091	2.136
UF22946869	UF_003	UF404001,UF404002	284.1412	[M+H]+	4169	25.526
UF67827362	UF_003	UF407201,UF407202	268.1907	[M+H]+	4171	17.049
UF87934465	UF_003	UF417601,UF417602	192.1383	[M+H]+	4284	23.167
UF63219858	UF_003	UF417633,UF417634	214.1202	[M+Na]+	4284	22.729
UF32608417	UF_003	UF407501,UF407502	362.1511	[M+H]+	4583	15.858
UF82250307	UF_003	UF407901,UF407902	330.15	[M+H]+	4691	21.605
UF48044555	UF_003	UF409801,UF409802	249.1598	[M+H]+	4828	14.015
UF48108479	UF_003	UF409501,UF409502	219.1128	[M+H]+	4909	18.377
UF59847492	UF_003	UF403701,UF403702	242.1434	[M+H]+	4929	23.242
UF28540526	UF_003	UF402601,UF402602,UF404101,UF404102	202.0854	[M+H]+	5216	21.882
UF31321120	UF_003	UF409901,UF409902	279.091	[M+H]+	5327	15.703
UF27501584	UF_003	UF408801,UF408802	250.0645	[M+H]+	5336	12.653
UF57252302	UF_003	UF401501,UF401502	202.0433	[M+H]+	5430	15.483
UF77383134	UF_003	UF410601,UF410602	291.1452	[M+H]+	5578	14.856
UF46055149	UF_003	UF415101,UF415102	315.2319	[M+H]+	5994	26.182
UF67961750	UF_003	UF410401,UF410402	232.1444	[M+H]+	6009	7.76
UF12875300	UF_003	UF416001,UF416002	289.2162	[M+H]+	6013	24.975
UF03284262	UF_003	UF412701,UF412702	117.0659	[M+H]+	6046	4.445
UF01612240	UF_003	UF416501,UF416502	287.2006	[M+H]+	6128	24.312
UF72305462	UF_003	UF415001,UF415002	299.2006	[M+H]+	6230	24.366
UF54533300	UF_003	UF418501,UF418502	172.0427	[M+H]+	6269	16.741
UF69386766	UF_003	UF424001,UF424002	251.0373	[M+H]+	6626	19.349
UF38070853	UF_003	UF419701,UF419702	200.074	[M+H]+	6637	21.233
UF03540466	UF_003	UF414601,UF414602	122.0964	[M+H]+	6896	13.256
UF76677172	UF_003	UF413901,UF413902	220.1121	[M+H]+	7013	26.816
UF13078103	UF_003	UF414401,UF414402	269.1648	[M+H]+	7031	25.805
UF92717706	UF_003	UF415801,UF415802,UF423401,UF423402	195.1016	[M+H]+	7184	24.665
UF57781529	UF_003	UF417701,UF417702	120.0556	[M+H]+	7220	16.478
UF18067410	UF_003	UF420801,UF420802	136.0215	[M+H]+	7222	21.154
UF91322320	UF_003	UF414501,UF414502	136.1121	[M+H]+	7464	17.002
UF88119187	UF_003	UF404501,UF404502	165.1022	[M+H]+	7560	17.437
UF15484970	UF_003	UF413701,UF413702	227.1543	[M+H]+	7573	12.896
UF54919914	UF_003	UF413801,UF413802	128.0262	[M+H]+	7812	8.827
UF13428177	UF_003	UF417501,UF417502	327.0781	[M+H]+	8289	26.251
UF19241275	UF_003	UF414001,UF414002	245.1285	[M+H]+	8411	9.299
UF53587139	UF_003	UF415601,UF415602,UF423301,UF423302	167.0703	[M+H]+	8434	21.86
UF84611921	UF_003	UF414301,UF414302	217.0794	[M+H]+	8765	16.228
UF74200466	UF_003	UF413301,UF413302	194.0964	[M+H]+	9212	25.114
UF03558640	UF_003	UF403101,UF403102	249.0192	[M+H]+	9502	24.574
UF25720824	UF_003	UF403801,UF403802	358.9768	[M+H]+	10107	26.076
UF99315672	UF_003	UF419801,UF419802	182.0093	[M+H]+	11989	24.845
UF48546538	UF_003	UF404801,UF404802	228.1277	[M+H]+	13263	21.743
UF54992335	UF_003	UF414201,UF414202	227.1543	[M+H]+	13283	19.644
UF96334590	UF_003	UF400801,UF400802	134.0713	[M+H]+	13624	8.044
UF75894616	UF_003	UF416401,UF416402	341.2111	[M+H]+	13789	24.61
UF11205959	UF_003	UF413117,UF413118	122.0731	[M]+	13837	2.215
