accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
BML1335826	BML_000	BML01833,BML01843	265.083	[M-H]-	1712147	C12H14N2O5	3.51
BML3871604	BML_000	BML01837	165.0921	[M-H]-	2724160	C10H14O2	7.68
BML9698359	BML_000	BML00046,BML00054,BML00062	406.20239999999995	[M-H]-	2846880	C25H29NO4	10.302
BML9495265	BML_000	BML01445,BML01452,BML01459	298.0615	[M-H]-	2868728	C10H13N5O4S	2.434
BML1271780	BML_000	BML00041,BML00049	381.1721	[M-H]-	2907920	C24H22N4O	6.709
BML0016486	BML_000	BML01370,BML01372,BML01374	303.1602	[M-H]-	2946267	C18H24O4	10.281
BML1363430	BML_000	BML01787,BML01793,BML01799	360.1200999999999	[M-H]-	3037652	C17H19N3O6	5.844
BML0415305	BML_000	BML00140,BML00147,BML00154	323.1289	[M-H]-	3144815	C20H20O4	10.124
BML3010172	BML_000	BML01448,BML01455,BML01462	322.1521	[M-H]-	3300105	C14H21N5O4	5.214
BML1119106	BML_000	BML00894,BML00899,BML00904	357.2071	[M-H]-	3327183	C22H30O4	10.662
BML0032678	BML_000	BML01622,BML01630,BML01638	801.1878	[M+CH3COOH-H]-	3349822	C35H34O18	9.554
BML9526494	BML_000	BML01680,BML01690,BML01700	481.176	[M-H]-	3579737	C24H27ClN6O3	8.591
BML1819751	BML_000	BML00139,BML00146,BML00153	801.1878	[M+CH3COOH-H]-	3710744	C35H34O18	9.83
BML5679996	BML_000	BML01676,BML01686,BML01696	417.11910000000006	[M-H]-	3794292	C21H22O9	5.069
BML7972000	BML_000	BML01618,BML01626,BML01634	621.1825	[M-H]-	3818047	C29H34O15	7.351
BML4832566	BML_000	BML01736	373.1293	[M-H]-	3899901	C20H22O7	10.135
BML3523670	BML_000	BML00047	503.3009	[M+CH3COOH-H]-	4008455	C27H40O5	10.844
BML9602818	BML_000	BML01835,BML01845	219.033	[M-H]-	4174840	C11H9ClN2O	7.067
BML1148364	BML_000	BML01574,BML01581,BML01588	271.1088	[M-H]-	4315245	C15H16N2O3	6.961000000000001
BML3439215	BML_000	BML00207,BML00220	407.1136	[M-H]-	4435675	C23H20O7	9.449
BML2472105	BML_000	BML01616,BML01624,BML01632	445.114	[M-H]-	4485132	C22H22O10	6.68
BML4930777	BML_000	BML00893,BML00898,BML00903	455.0976	[M-H]-	4570635	C23H25BrN2O3	8.283
BML2903073	BML_000	BML00848,BML00855,BML00862	471.348	[M-H]-	4660579	C30H48O4	11.291000000000002
BML1506390	BML_000	BML01512,BML01520,BML01528	255.06630000000004	[M-H]-	5106787	C15H12O4	6.828
BML6617401	BML_000	BML00208,BML00221,BML00234	715.1874000000001	[M+CH3COOH-H]-	5125341	C32H32O15	9.897
BML5359677	BML_000	BML01836,BML01846,BML01856	299.0925	[M-H]-	5271551	C17H16O5	7.515
BML9134873	BML_000	BML00198,BML00211	207.0299	[M-H]-	5273569	C10H8O5	4.007
BML0487320	BML_000	BML00143,BML01862	301.0354	[M-H]-	5280343	C15H10O7	6.625
BML5647584	BML_000	BML00767,BML00772,BML00777	283.0612	[M-H]-	5280373	C16H12O5	8.408
BML9134091	BML_000	BML00204,BML00217,BML00230	267.0663	[M-H]-	5280378	C16H12O4	7.823
BML8154974	BML_000	BML00847,BML00854,BML00861	283.0612	[M-H]-	5280442	C16H12O5	8.982
BML4893112	BML_000	BML00444,BML00454,BML00464	269.0455	[M-H]-	5280443	C15H10O5	7.806
BML2825813	BML_000	BML00136,BML00144,BML00151	285.0404	[M-H]-	5280445	C15H10O6	7.144000000000001
BML6620516	BML_000	BML00378,BML00384,BML00390	191.035	[M-H]-	5280460	C10H8O4	4.63
BML6134454	BML_000	BML01620,BML01628,BML01636	299.0561	[M-H]-	5280666	C16H12O6	8.058
BML1569271	BML_000	BML00260,BML00267,BML00274	285.0404	[M-H]-	5280863	C15H10O6	7.453
BML9185201	BML_000	BML01062,BML01065,BML01068	211.0877	[M-H]-	5280953	C13H12N2O	4.509
BML2611688	BML_000	BML00201,BML00214,BML00227	351.051	[M-H]-	5281406	C19H12O7	7.458000000000001
BML9068310	BML_000	BML01674,BML01684	177.0193	[M-H]-	5281416	C9H6O4	3.125
BML9062290	BML_000	BML01063,BML01066,BML01069	253.0506	[M-H]-	5281607	C15H10O4	8.643
BML0453005	BML_000	BML00332,BML00337,BML00342	269.0455	[M-H]-	5281611	C15H10O5	7.03
BML0209735	BML_000	BML00306,BML00310	285.0404	[M-H]-	5281614	C15H10O6	6.24
BML4778149	BML_000	BML00678,BML00686,BML00694	409.1656	[M-H]-	5281650	C24H26O6	11.171
BML4590518	BML_000	BML01840,BML01850,BML01860	299.0561	[M-H]-	5281666	C16H12O6	8.763
BML5857691	BML_000	BML00134,BML00142,BML00149	447.0933	[M-H]-	5291488	C21H20O11	5.611999999999999
BML2061434	BML_000	BML00133,BML00141,BML00148	609.1461	[M-H]-	5293655	C27H30O16	5.341
BML4486000	BML_000	BML01838,BML01848	675.2294	[M-H]-	5318997	C33H40O15	7.927
BML8651832	BML_000	BML00044,BML00052,BML00060	330.1711	[M-H]-	5338262	C19H25NO4	8.276
BML1935503	BML_000	BML00495,BML00503,BML00511	339.0721	[M-H]-	5351506	C15H16O9	2.834
BML2553861	BML_000	BML01302,BML01307,BML01312	239.07129999999998	[M-H]-	5357218	C15H12O3	8.359
BML1096583	BML_000	BML00199,BML00212,BML00225	445.114	[M-H]-	5358913	C22H22O10	6.6930000000000005
BML5181085	BML_000	BML01678,BML01688,BML01698	313.0717	[M-H]-	5378832	C17H14O6	8.273
BML5141548	BML_000	BML00259,BML00266,BML00273	253.0506	[M-H]-	5391140	C15H10O4	7.394000000000001
BML5513447	BML_000	BML00334,BML00339	251.0713	[M-H]-	5391151	C16H12O3	8.514
BML4822941	BML_000	BML01515,BML01523,BML01531	267.0663	[M-H]-	5393153	C16H12O4	8.607
BML6238906	BML_000	BML01619,BML01627,BML01635	345.0616	[M-H]-	5489485	C17H14O8	7.905
BML8686421	BML_000	BML01786,BML01792,BML01798	577.1563	[M-H]-	5874704	C27H30O14	5.149
BML1455945	BML_000	BML01300,BML01305,BML01310	431.09829999999994	[M-H]-	6078194	C21H20O10	5.732
BML8271459	BML_000	BML01839,BML01849,BML01859	343.0823	[M-H]-	6250403	C18H16O7	8.669
BML1960455	BML_000	BML01735,BML01742,BML01749	347.048	[M-H]-	6312947	C21H13ClO3	9.299
BML4029463	BML_000	BML01788,BML01794,BML01800	343.1187	[M-H]-	9974764	C19H20O6	7.788
BML4473704	BML_000	BML01681	811.2297	[M+CH3COOH-H]-	20106092	C34H40O19	9.074
BML7421555	BML_000	BML01617,BML01625,BML01633	681.1672	[M-H]-	20106108	C30H34O18	7.186
BML3146128	BML_000	BML01623,BML01631,BML01639	959.2457	[M+CH3COOH-H]-	20106114	C42H44O22	10.037
BML6843593	BML_000	BML01677,BML01687,BML01697	637.1774	[M-H]-	20106119	C29H34O16	6.611999999999999
BML6512063	BML_000	BML01621,BML01629,BML01637	529.1351	[M-H]-	24208689	C26H26O12	8.482
BML7380466	BML_000	BML01785,BML01791,BML01797	336.1313	[M-H]-	135407017	C14H19N5O5	4.289
