accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
RP22914747	RP_000	RP032011	257.0779	[M-H]-	445408	C10H14N2O6	0.822
RP78002336	RP_000	RP029611,RP029612	327.233	[M-H]-	445580	C22H32O2	6.764
RP89937021	RP_000	RP029011,RP029012	281.2486	[M-H]-	445639	C18H34O2	7.283
RP21707272	RP_000	RP030511,RP030512	301.2173	[M-H]-	446284	C20H30O2	6.58
RP58300254	RP_000	RP015911,RP015912,RP015913	194.0459	[M-H]-	450272	C9H9NO4	3.109
RP52646734	RP_000	RP029311,RP029312,RP029313	487.2371	[M-H]-	459070	C24H40O8S	4.049
RP40407019	RP_000	RP013111,RP013112,RP013113	375.13100000000003	[M-H]-	493570	C17H20N4O6	2.7580000000000005
RP71327305	RP_000	RP016811,RP016812,RP016813	163.0401	[M-H]-	637542	C9H8O3	3.019
RP94402780	RP_000	RP017411,RP017412,RP017413	223.0612	[M-H]-	637775	C11H12O5	3.1489999999999996
RP24164128	RP_000	RP016711,RP016712,RP016713	179.035	[M-H]-	689043	C9H8O4	2.696
RP99727261	RP_000	RP020911,RP020912,RP020913	240.1241	[M-H]-	4476497	C12H19NO4	3.786
RP95626651	RP_000	RP012411,RP012412,RP012413	301.0354	[M-H]-	5280343	C15H10O7	3.82
RP36854599	RP_000	RP015111,RP015112,RP015113	269.0455	[M-H]-	5280443	C15H10O5	3.949
RP16301802	RP_000	RP029511,RP029512	279.233	[M-H]-	5280450	C18H32O2	6.953
RP72811718	RP_000	RP017111,RP017112,RP017113	463.0882	[M-H]-	5280804	C21H20O12	3.122
RP08496693	RP_000	RP014311,RP014312	277.2173	[M-H]-	5280933	C18H30O2	6.703
RP95522576	RP_000	RP030411,RP030412	277.2173	[M-H]-	5280934	C18H30O2	6.664
RP79964174	RP_000	RP017611,RP017612,RP017613	269.0455	[M-H]-	5280961	C15H10O5	3.962
RP50361800	RP_000	RP018111,RP018112,RP018113	253.0506	[M-H]-	5281708	C15H10O4	3.597
RP58243082	RP_000	RP030011,RP030012,RP030013	391.2854	[M-H]-	5283821	C24H40O4	4.562
RP63457120	RP_000	RP030111,RP030112,RP030113	407.28030000000007	[M-H]-	5283870	C24H40O5	4.263
RP53282930	RP_000	RP022711,RP022712	149.0455	[M-H]-	5311110	C5H10O5	0.616
RP66587985	RP_000	RP021711,RP021712,RP021713	298.2024	[M-H]-	11507677	C16H29NO4	5.057
RP66417192	RP_000	RP020711,RP020712,RP020713	184.0615	[M-H]-	11513882	C8H11NO4	0.9540000000000001
RP41195009	RP_000	RP021611,RP021612,RP021613	270.1711	[M-H]-	11521893	C14H25NO4	4.381
RP90532521	RP_000	RP021411,RP021412,RP021413	214.10849999999996	[M-H]-	11579405	C10H17NO4	2.64
RP48971542	RP_000	RP021511,RP021512,RP021513	242.1398	[M-H]-	11586792	C12H21NO4	3.592
RP06198317	RP_000	RP021011,RP021012,RP021013	268.1554	[M-H]-	11680589	C14H23NO4	4.591
RP36668552	RP_000	RP021811,RP021812,RP021813	326.2337	[M-H]-	11681427	C18H33NO4	5.739999999999999
RP57172558	RP_000	RP021211,RP021212,RP021213	324.218	[M-H]-	11688418	C18H31NO4	5.901
RP01436180	RP_000	RP029411,RP029412,RP029413	181.0506	[M-H]-	22056978	C9H10O4	2.354
RP04229377	RP_000	RP010711,RP010712,RP010713	413.3061	[M-H]-	22216313	C27H42O3	6.726
RP90464213	RP_000	RP014511,RP014512,RP014513	220.08270000000002	[M-H]-	22952041	C8H15NO6	0.617
RP08920452	RP_000	RP012711,RP012712,RP012713	328.0452	[M-H]-	25322948	C10H12N5O6P	0.71
RP33652096	RP_000	RP029911,RP029912,RP029913	428.317	[M-H]-	52922059	C27H43NO3	7.184
RP58673885	RP_000	RP029811,RP029812,RP029813	394.3327	[M-H]-	52922065	C24H45NO3	7.236
