accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
BML9723000	BML_001	BML00278,BML00287	245.0955	[M+H]+	253	3.467
BML6750065	BML_001	BML00963,BML00972	431.2768	[M+Na]+	303	10.054
BML4473742	BML_001	BML01352,BML01359,BML01366	147.0441	[M+H]+	323	4.819
BML9006833	BML_001	BML00569,BML00575	177.1023	[M+H]+	408	1.977
BML2121006	BML_001	BML01255	305.0656	[M+H]+	471	4.322
BML0284135	BML_001	BML01007,BML01015,BML01023	244.0928	[M+H]+	596	0.38999999999999996
BML1910145	BML_001	BML01280,BML01286	148.0605	[M+H]+	611	0.372
BML1506645	BML_001	BML01184,BML01190,BML01196	308.0642	[M+H]+	624	0.4000000000000001
BML2659280	BML_001	BML01219,BML01225,BML01231	252.1091	[M+H]+	636	1.9189999999999998
BML5741665	BML_001	BML01070	156.0768	[M+H]+	773	0.32
BML1350813	BML_001	BML01532,BML01544	142.0975	[M+H]+	776	0.298
BML8818253	BML_001	BML01052	176.103	[M+H]+	833	0.364
BML8279981	BML_001	BML01802,BML01812,BML01822	198.0761	[M+H]+	836	0.385
BML7495667	BML_001	BML01112	184.0968	[M+H]+	838	0.371
BML7051006	BML_001	BML00698,BML00707,BML00716	233.1285	[M+H]+	896	5.018
BML8059795	BML_001	BML00813,BML00823,BML00833	219.1128	[M+H]+	914	1.548
BML5669160	BML_001	BML00645,BML00656,BML00667	273.0758	[M+H]+	932	6.636
BML1631810	BML_001	BML00351,BML00361,BML00371	325.1911	[M+H]+	1065	5.289
BML8572679	BML_001	BML00066,BML00073,BML00080	377.1456	[M+H]+	1072	4.254
BML9583371	BML_001	BML01185,BML01191,BML01197	205.09720000000002	[M+H]+	1148	1.26
BML5418305	BML_001	BML01314,BML01321,BML01328	346.2740999999999	[M+H]+	1205	5.9430000000000005
BML4900365	BML_001	BML00605,BML00613,BML00621	384.1442	[M+H]+	1309	4.258
BML5770950	BML_001	BML01220	257.1132	[M+H]+	1814	2.438
BML3330634	BML_001	BML00521,BML00530,BML00539	327.2067	[M+H]+	2073	4.178
BML6821469	BML_001	BML00905,BML00916,BML00927	266.1387	[M+H]+	2199	2.846
BML5891668	BML_001	BML00701,BML00710,BML00719	217.04959999999997	[M+H]+	2355	7.327000000000001
BML7538993	BML_001	BML00743,BML00750,BML00757	368.1129	[M+H]+	2376	3.936
BML9168742	BML_001	BML00696,BML00705,BML00714	195.0877	[M+H]+	2519	4.122
BML4948362	BML_001	BML00815,BML00825,BML00835	455.2905	[M+H]+	2520	6.649
BML2741662	BML_001	BML00403,BML00417,BML00431	349.1182999999999	[M+H]+	2538	7.573
BML9265892	BML_001	BML00067,BML00074	295.181	[M+H]+	2757	4.454
BML6716211	BML_001	BML01010,BML01018,BML01026	372.18059999999997	[M+H]+	2832	4.95
BML3498998	BML_001	BML00526,BML00535,BML00544	400.1755	[M+H]+	2833	7.217
BML0302194	BML_001	BML01316	403.2479	[M+H]+	2975	8.17
BML5856377	BML_001	BML00474,BML00483,BML00492	612.3181	[M+H]+	3065	7.107
BML7794963	BML_001	BML01468,BML01483,BML01498	319.0247	[M+H]+	3165	5.5040000000000004
BML2401196	BML_001	BML00475,BML00484	471.3469	[M+H]+	3230	11.678
BML2217592	BML_001	BML00525,BML00534,BML00543	589.1916	[M+H]+	3310	7.135000000000001
BML6058581	BML_001	BML00604,BML00612,BML00620	180.1019	[M+H]+	3442	3.9279999999999995
BML2847750	BML_001	BML00405	353.0787	[M+H]+	3512	7.903
BML5531787	BML_001	BML00282,BML00291,BML00300	303.0863	[M+H]+	3593	7.049
