accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
SM64336747	SM_001	SM860002	321.0192	[M+H]+	3958	C15H10Cl2N2O2	10.41
SM44334854	SM_001	SM818901,SM860702	423.1695	[M+H]+	3961	C22H23ClN6O	10.8935
SM40456983	SM_001	SM853401	296.103	[M+H]+	4030	C16H13N3O3	9.807
SM03199174	SM_001	SM852303	430.2588	[M+H]+	4031	C25H35NO5	8.687
SM19339687	SM_001	SM857001	242.1176	[M+H]+	4044	C15H15NO2	12.974
SM01037789	SM_001	SM860101	180.1747	[M+H]+	4054	C12H21N	7.018
SM97707772	SM_001	SM862104	154.0499	[M+H]+	4075	C7H7NO3	0.428
SM47726810	SM_001	SM867803	130.1087	[M+H]+	4091	C4H11N5	0.394
SM67985037	SM_001	SM848103	264.009	[M+H]+	4130	C8H10NO5PS	10.968
SM16832376	SM_001	SM841801	284.1412	[M+H]+	4169	C15H22ClNO2	11.941
SM71501957	SM_001	SM860201	414.9933	[M+H]+	4189	C18H14Cl4N2O	10.885
SM10230006	SM_001	SM822301,SM879706	192.1383	[M+H]+	4284	C12H17NO	10.153500000000001
SM34785052	SM_001	SM849802	361.1394	[M+H]+	4507	C18H20N2O6	11.669
SM64711585	SM_001	SM872301	299.2006	[M+H]+	4536	C20H26O2	11.255
SM61089079	SM_001	SM873701	313.2162	[M+H]+	4542	C21H28O2	11.804
SM67612877	SM_001	SM833401	346.122	[M+H]+	4594	C17H19N3O3S	8.222
SM70280578	SM_001	SM852501	294.1601	[M+H]+	4595	C18H19N3O	6.277
SM79965350	SM_001	SM860402	287.0582	[M+H]+	4616	C15H11ClN2O2	10.259
SM67946009	SM_001	SM814303,SM862902	229.0859	[M+H]+	4632	C14H12O3	11.9625
SM47804623	SM_001	SM849703	358.2377	[M+H]+	4634	C22H31NO3	9.182
SM42720491	SM_001	SM833601	384.0824	[M+H]+	4679	C16H15F2N3O4S	8.773
SM61726189	SM_001	SM861402	279.1452	[M+H]+	4740	C13H18N4O3	7.982
SM16185216	SM_001	SM812904	181.076	[M+H]+	4757	C12H8N2	10.128
SM11841484	SM_001	SM852602	357.1267	[M+H]+	4829	C19H20N2O3S	8.023
SM99765741	SM_001	SM874401	359.1853	[M+H]+	4900	C21H26O5	9.583
SM38979424	SM_001	SM850201	219.1128	[M+H]+	4909	C12H14N2O2	6.372
SM44342309	SM_001	SM872401	315.2319	[M+H]+	4920	C21H30O2	12.449
SM01032193	SM_001	SM849001	285.142	[M+H]+	4927	C17H20N2S	8.328
SM53694890	SM_001	SM839705	212.0837	[M+H]+	4931	C11H14ClNO	10.144
SM49289224	SM_001	SM848402	218.0134	[M+H]+	4933	C9H9Cl2NO	10.816
SM32798670	SM_001	SM855601	260.1645	[M+H]+	4946	C16H21NO2	7.301
SM92321385	SM_001	SM853603	474.1734	[M+H]+	5035	C28H27NO4S	8.611
SM04625713	SM_001	SM851301	411.2191	[M+H]+	5073	C23H27FN4O2	7.132
SM26673431	SM_001	SM840901	202.0854	[M+H]+	5216	C7H12ClN5	8.822
SM94528939	SM_001	SM852103	494.2663	[M+H]+	5291	C29H31N7O	7.777
SM35022534	SM_001	SM854202	311.0809	[M+H]+	5323	C12H14N4O4S	8.004
SM09465197	SM_001	SM850301	279.091	[M+H]+	5327	C12H14N4O2S	4.832
SM65809454	SM_001	SM856302	254.0594	[M+H]+	5329	C10H11N3O3S	5.918
SM17571328	SM_001	SM860501	301.0738	[M+H]+	5391	C16H13ClN2O2	10.581
SM72291515	SM_001	SM873001	289.2162	[M+H]+	5408	C19H28O2	11.482
SM15964029	SM_001	SM862001	265.1911	[M+H]+	5411	C15H24N2O2	7.396
SM43344948	SM_001	SM878801	202.0433	[M+H]+	5430	C10H7N3S	2.337
SM87837182	SM_001	SM848803	304.0091	[M+H]+	5543	C10H16Cl3NOS	13.774
SM86012261	SM_001	SM873501	395.1864	[M+H]+	5544	C21H27FO6	8.04
SM22437519	SM_001	SM832201	278.2115	[M+H]+	5656	C17H27NO2	7.004
