accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
NA55225067	NA_003	NA000851,NA000853,NA000855,NA000978,NA000980,NA000982,NA001107,NA001109,NA001111,NA001233,NA001235,NA001237,NA001359,NA001361,NA001363,NA001484,NA001486,NA001488,NA001619,NA001621,NA001634,NA001739,NA001741,NA001743,NA001866,NA001868,NA001870,NA001984,NA001986,NA001988,NA002100,NA002102,NA002104	163.11170000000004	[M+H]+	66093	C11H14O	11.595090909090908
NA22010923	NA_003	NA002404,NA002405,NA002406,NA002407,NA002408,NA002799,NA002800,NA002801,NA002802,NA002803,NA003179,NA003180,NA003181,NA003182,NA003183,NA003544,NA003545,NA003546,NA003547,NA003548	166.12260000000003	[M+H]+	68313	C10H15NO	0.6130000000000001
NA75311667	NA_003	NA000813,NA000815,NA000970,NA000972,NA001065,NA001067,NA001069,NA001192,NA001194,NA001196,NA001319,NA001321,NA001323,NA001444,NA001446,NA001448,NA001579,NA001581,NA001583,NA001704,NA001706,NA001708,NA001824,NA001826,NA001828,NA001942,NA001944,NA001946,NA002058,NA002060,NA002062	283.1540000000002	[M+H]+	68827	C15H22O5	11.419354838709681
NA95203933	NA_003	NA000884,NA000886,NA001013,NA001015,NA001017,NA001137,NA001139,NA001141,NA001259,NA001261,NA001263,NA001389,NA001391,NA001393,NA001514,NA001516,NA001518,NA001649,NA001651,NA001653,NA001769,NA001771,NA001773,NA001896,NA001898,NA001900,NA002125,NA002127,NA002129	307.0811999999999	[M+H]+	72277	C15H14O7	3.321758620689656
NA91475206	NA_003	NA002501,NA002502,NA002503,NA002504,NA002505,NA002894,NA002895,NA002896,NA002897,NA002898,NA003269,NA003270,NA003271,NA003272,NA003273,NA003639,NA003640,NA003641,NA003642,NA003643	288.12299999999993	[M+H]+	72378	C16H17NO4	0.6265000000000001
NA13680554	NA_003	NA002491,NA002492,NA002493,NA002494,NA002495,NA002884,NA002885,NA002886,NA002887,NA002888,NA003629,NA003630,NA003631,NA003632,NA003633	209.11720000000003	[M+H]+	84800	C12H16O3	11.164000000000003
NA90895204	NA_003	NA002314,NA002315,NA002316,NA002317,NA002318,NA002704,NA002705,NA002706,NA002707,NA002708,NA003084,NA003085,NA003086,NA003087,NA003088,NA003449,NA003450,NA003451,NA003452,NA003453	163.12300000000002	[M+H]+	89594	C10H14N2	0.5072500000000002
NA87690228	NA_003	NA002329,NA002330,NA002331,NA002332,NA002333,NA002724,NA002725,NA002726,NA002727,NA002728,NA003104,NA003105,NA003106,NA003107,NA003108,NA003469,NA003470,NA003471,NA003472,NA003473	249.19610000000006	[M+H]+	91466	C15H24N2O	0.7115
NA97882057	NA_003	NA002300,NA002301,NA002302,NA002303,NA002304,NA002697,NA002698,NA002699,NA002700,NA002701,NA003079,NA003080,NA003081,NA003082,NA003083,NA003444,NA003445,NA003446,NA003447,NA003448	415.3207000000001	[M+H]+	99474	C27H42O3	15.273750000000003
NA48955367	NA_003	NA002339,NA002340,NA002341,NA002342,NA002343,NA002734,NA002735,NA002736,NA002737,NA002738,NA003114,NA003115,NA003116,NA003117,NA003118,NA003479,NA003480,NA003481,NA003482,NA003483	300.1805000000001	[M+H]+	107938	C15H25NO5	1.0412500000000002
NA68318972	NA_003	NA002424,NA002425,NA002426,NA002427,NA002428,NA002819,NA002820,NA002821,NA002822,NA002823,NA003199,NA003200,NA003201,NA003202,NA003203,NA003564,NA003565,NA003566,NA003567,NA003568	300.1805000000001	[M+H]+	114843	C15H25NO5	1.046
NA22345056	NA_003	NA000892,NA000894,NA000896,NA001023,NA001025,NA001027,NA001147,NA001149,NA001151,NA001269,NA001271,NA001273,NA001399,NA001401,NA001403,NA001524,NA001526,NA001528,NA001659,NA001661,NA001663,NA001779,NA001781,NA001783,NA001906,NA001908,NA001910,NA002019,NA002021,NA002023,NA002135,NA002137,NA002139	219.13799999999995	[M+H]+	115049	C14H18O2	10.399545454545454
NA66528333	NA_003	NA002409,NA002410,NA002411,NA002412,NA002413,NA002804,NA002805,NA002806,NA002807,NA002808,NA003184,NA003185,NA003186,NA003187,NA003188,NA003549,NA003550,NA003551,NA003552,NA003553	247.18050000000002	[M+H]+	115269	C15H22N2O	0.8392500000000002
NA26091705	NA_003	NA000887,NA000889,NA000891,NA001018,NA001020,NA001022,NA001142,NA001144,NA001146,NA001264,NA001266,NA001268,NA001394,NA001396,NA001398,NA001519,NA001521,NA001523,NA001654,NA001656,NA001658,NA001774,NA001776,NA001778,NA001901,NA001903,NA001905,NA002014,NA002016,NA002018	249.1961000000001	[M+H]+	119201	C15H24N2O	0.5166999999999999
