accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
LQB9203008	LQB_000	LQB00242,LQB00243,LQB00628,LQB00629	745.5007	[M-H]-	138121875	8.2329515
LQB9333270	LQB_000	LQB00251,LQB00637	795.516	[M-H]-	138122506	8.398577
LQB2126403	LQB_000	LQB00057,LQB00443	678.6006	[M+CH3COOH-H]-	138123086	12.56107
LQB4322032	LQB_000	LQB00066,LQB00452	652.588	[M+CH3COOH-H]-	138125208	12.1937
LQB3564775	LQB_000	LQB00384,LQB00385,LQB00770,LQB00771	869.67035	[M+CH3COOH-H]-	138127665	11.07007
LQB9218362	LQB_000	LQB00293,LQB00294,LQB00679,LQB00680	833.5170499999999	[M-H]-	138130059	8.3016515
LQB8476883	LQB_000	LQB00118,LQB00504	902.6884	[M+CH3COOH-H]-	138130353	13.07663
LQB8623891	LQB_000	LQB00182,LQB00183,LQB00568,LQB00569	764.5218	[M-H]-	138131789	9.665754
LQB3586703	LQB_000	LQB00089,LQB00475	812.5445	[M+CH3COOH-H]-	138131886	8.676142
LQB7124939	LQB_000	LQB00191,LQB00577	752.5183	[M-H]-	138136039	9.851647
LQB8105610	LQB_000	LQB00247,LQB00633	771.5146	[M-H]-	138136335	8.485966
LQB1305170	LQB_000	LQB00207,LQB00593	822.6027	[M-H]-	138136786	12.32646
LQB3599735	LQB_000	LQB00351,LQB00352,LQB00737,LQB00738	873.70255	[M+CH3COOH-H]-	138136899	12.775920000000001
LQB6715630	LQB_000	LQB00285,LQB00671	869.5344	[M-H]-	138138398	8.009889
LQB8235680	LQB_000	LQB00319,LQB00705	909.5504	[M-H]-	138139338	8.435534
LQB6682347	LQB_000	LQB00187,LQB00573	736.4922	[M-H]-	138140034	8.820026
LQB1894462	LQB_000	LQB00164,LQB00550	896.6301	[M+CH3COOH-H]-	138142053	11.31964
LQB2997864	LQB_000	LQB00337,LQB00723	808.5079	[M-H]-	138142497	8.495248
LQB0312707	LQB_000	LQB00304,LQB00690	869.5164	[M-H]-	138143153	8.259072
LQB0169293	LQB_000	LQB00313,LQB00699	909.5445	[M-H]-	138144195	8.653857
LQB5133034	LQB_000	LQB00007,LQB00393	740.6387	[M+CH3COOH-H]-	138145303	12.4224
LQB2411472	LQB_000	LQB00233,LQB00619	838.5397	[M-H]-	138145394	9.373588
LQB7329252	LQB_000	LQB00021,LQB00407	724.6445	[M+CH3COOH-H]-	138145503	12.85404
LQB6315180	LQB_000	LQB00274,LQB00660	791.4865	[M-H]-	138147428	7.740366
LQB4237039	LQB_000	LQB00232,LQB00618	840.5583	[M-H]-	138147675	9.960825
LQB8961219	LQB_000	LQB00264,LQB00650	797.5323	[M-H]-	138151504	8.293467
LQB8018491	LQB_000	LQB00211,LQB00597	766.5382	[M-H]-	138151921	9.799648
LQB0110403	LQB_000	LQB00329,LQB00715	782.494	[M-H]-	138153806	8.33168
LQB9164710	LQB_000	LQB00300,LQB00686	881.514	[M-H]-	138154339	8.246706
LQB7996843	LQB_000	LQB00343,LQB00729	842.5976	[M-H]-	138154510	9.905784
LQB7591130	LQB_000	LQB00167,LQB00553	944.637	[M+CH3COOH-H]-	138154605	10.03659
LQB6523108	LQB_000	LQB00298,LQB00299,LQB00684,LQB00685	855.50235	[M-H]-	138154651	8.084349
LQB1376144	LQB_000	LQB00067,LQB00453	736.6776	[M+CH3COOH-H]-	138155163	13.53073
LQB2745503	LQB_000	LQB00263,LQB00649	771.5206	[M-H]-	138155445	8.174149
LQB6001302	LQB_000	LQB00048,LQB00049,LQB00434,LQB00435	706.63455	[M+CH3COOH-H]-	138156076	13.07415
LQB0535860	LQB_000	LQB00165,LQB00551	918.618	[M+CH3COOH-H]-	138157361	10.06976
LQB4111962	LQB_000	LQB00270,LQB00656	819.5219	[M-H]-	138157532	8.119515
LQB7024825	LQB_000	LQB00344,LQB00730	832.5125	[M-H]-	138157682	8.345592
LQB4056366	LQB_000	LQB00307,LQB00693	887.5606	[M-H]-	138159922	8.913146
LQB2986626	LQB_000	LQB00275,LQB00661	817.5013	[M-H]-	138161853	7.886111
LQB7556920	LQB_000	LQB00125,LQB00511	860.5447	[M+CH3COOH-H]-	138163135	8.393863
LQB8572953	LQB_000	LQB00250,LQB00636	767.481	[M-H]-	138165783	8.135416
LQB3478882	LQB_000	LQB00138,LQB00524	868.6048	[M+CH3COOH-H]-	138166196	10.16551
LQB5207636	LQB_000	LQB00222,LQB00223,LQB00608,LQB00609	786.50445	[M-H]-	138168948	8.938044999999999
LQB5843509	LQB_000	LQB00128,LQB00514	854.5894	[M+CH3COOH-H]-	138172174	9.706861
LQB4453092	LQB_000	LQB00111,LQB00112,LQB00497,LQB00498	868.6034000000001	[M+CH3COOH-H]-	138172457	9.924634
LQB4801765	LQB_000	LQB00252,LQB00638	793.4993	[M-H]-	138172530	8.297842
LQB7464243	LQB_000	LQB00180,LQB00181,LQB00566,LQB00567	766.539	[M-H]-	138175392	10.062460000000002
LQB0193514	LQB_000	LQB00321,LQB00707	881.5164	[M-H]-	138175443	8.108304
