accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
PR50915541	PR_000	PR308227,PR308230,PR308233,PR308238,PR308241,PR308244,PR308247,PR308250,PR308253,PR308256,PR308259,PR308965	229.08701802717744	[M-H]-	185914	C14H14O3	5.146898
PR77243886	PR_000	PR309291	575.1386	[M-H]-	194340	C27H28O14	4.66
PR12851638	PR_000	PR307291,PR307292,PR307293,PR307294,PR307295,PR307296,PR307297,PR307298,PR307299,PR307300,PR307301,PR307302,PR308730	247.13396819799692	[M-H]-	196319	C15H20O3	7.9096769230769235
PR59759812	PR_000	PR307520,PR307526,PR307532,PR307538,PR307544,PR307550,PR307556,PR307561,PR307566,PR307572,PR307578,PR307584,PR308724,PR309023	515.1193354981399	[M-H]-	205954	C25H24O12	3.5692997142857137
PR30507018	PR_000	PR308057,PR308059,PR308061,PR308063,PR308065,PR308067,PR308069,PR308071,PR308073,PR308075,PR308077,PR308079,PR309427	787.2666176478432	[M+HCOO]-	226371	C34H46O18	3.614184307692308
PR72253366	PR_000	PR308056,PR308058,PR308060,PR308062,PR308064,PR308066,PR308068,PR308070,PR308072,PR308074,PR308076,PR308078,PR308750	741.2611382903046	[M-H]-	226371	C34H46O18	3.614184307692308
PR30484174	PR_000	PR307859,PR307860,PR307861,PR307862,PR307863,PR307864,PR307865,PR307866,PR307867,PR307868,PR307869,PR307870	371.15001204783	[M-H]-	230232	C21H24O6	6.638499999999998
PR39241172	PR_000	PR306433,PR306438,PR306443,PR306448,PR306453,PR306458,PR306463,PR306468,PR306473,PR306478,PR306483,PR306488,PR308797	609.1824936441509	[M-H]-	232990	C28H34O15	4.609245846153846
PR88747727	PR_000	PR307994,PR307995,PR307996,PR307997,PR307998,PR307999,PR308000,PR308001,PR308002,PR308003,PR308004,PR308005	357.13436194782986	[M-H]-	234817	C20H22O6	5.590617000000001
PR02790588	PR_000	PR309307	255.065	[M-H]-	238782	C15H12O4	7.47
PR17842906	PR_000	PR304987,PR304988,PR304989,PR304990,PR304991,PR304992,PR304993,PR304994,PR304995,PR304996,PR304997,PR304998,PR308864	326.13978161338156	[M-H]-	248507	C19H21NO4	3.3599695384615385
PR41667372	PR_000	PR305247	397.17689545183	[M+HCOO]-	251561	C21H24N2O3	4.86205
PR48191412	PR_000	PR305234,PR305236,PR305238,PR305240,PR305242,PR305244,PR305246,PR305249,PR305251,PR305253,PR305255,PR305257,PR308868	351.1714164441507	[M-H]-	251561	C21H24N2O3	4.861892307692306
PR92121217	PR_000	PR307495,PR307496,PR308819	429.228261536	[M+HCOO]-	259992	C24H32O4	7.5622
PR84216343	PR_000	PR305187,PR305190,PR305193,PR305196,PR305199,PR305202,PR305205,PR305208,PR305211,PR305214,PR305217,PR305220,PR308390,PR308393,PR308396,PR308399,PR308404,PR308407,PR308412,PR308416,PR308423,PR308426,PR308430,PR308983	912.4962233819151	[M+HCOO]-	262500	C45H73NO15	4.9503916666666665
PR70378058	PR_000	PR305186,PR305189,PR305192,PR305195,PR305198,PR305201,PR305204,PR305207,PR305210,PR305213,PR305216,PR305219,PR308395,PR308403,PR308411,PR308415,PR308419,PR308425,PR308429,PR309424	866.4907440186983	[M-H]-	262500	C45H73NO15	4.952149999999999
PR35589436	PR_000	PR305409,PR305411,PR305413,PR305414,PR305415,PR305417,PR305419,PR305421,PR308671	795.4536304016266	[M+HCOO]-	267360	C41H66O12	7.937673777777778
PR34037020	PR_000	PR305407,PR305408,PR305410,PR305412,PR305416,PR305418,PR305420,PR308664	749.4481510043512	[M-H]-	267360	C41H66O12	7.937710125
PR64172131	PR_000	PR304594,PR304598,PR304602,PR304606,PR304610,PR304614,PR304617,PR304620,PR304624,PR304628,PR304632,PR304636,PR308861	321.16085142876625	[M-H]-	279057	C20H22N2O2	3.1986920000000003
PR46993003	PR_000	PR306364,PR306370,PR306376,PR306382,PR306388,PR306393,PR306398,PR306404,PR306410,PR306415,PR306421,PR306427,PR309315,PR309316,PR309317	433.11346435826397	[M-H]-	282013	C21H22O10	4.4959999999999996
PR03426190	PR_000	PR309392	623.2386	[M-H]-	338256	C36H36N2O8	6.4
