accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
AU08700852	AU_002	AU213701,AU213702,AU213703,AU213704,AU213705,AU213706	441.167	[M+H]+	2541	C24H20N6O3	7.759333333333333
AU25364230	AU_002	AU112006	237.1022	[M+H]+	2554	C15H12N2O	7.504
AU08765415	AU_002	AU203801,AU203802,AU203803,AU203804,AU203805	253.0972	[M+H]+	2555	C15H12N2O2	5.9
AU22330355	AU_002	AU235601,AU235602,AU235603,AU235604,AU235605,AU235606	382.0832	[M+H]+	2662	C17H14F3N3O2S	10.263166666666667
AU03851683	AU_002	AU212406	389.1626	[M+H]+	2678	C21H25ClN2O3	8.892
AU79001020	AU_002	AU284301,AU284302,AU284303,AU284304,AU284305,AU284306	285.339	[M+H]+	2681	C19H42N+	12.838
AU12753894	AU_002	AU262301,AU262302,AU262303,AU262305,AU262306	214.06289999999998	[M+H]+	2728	C10H12ClNO2	9.800600000000001
AU51167648	AU_002	AU102601,AU102602,AU102603,AU102604,AU102605	332.1405	[M+H]+	2764	C17H18FN3O3	4.3804
AU90588397	AU_002	AU151301,AU151302,AU151303,AU151304,AU151305,AU151306	325.1711	[M+H]+	2771	C20H21FN2O	6.570666666666667
AU70194114	AU_002	AU159806	301.0738	[M+H]+	2789	C16H13ClN2O2	8.145
AU15115964	AU_002	AU271901,AU271902,AU271903,AU271904,AU271906	243.0782	[M+H]+	2796	C12H15ClO3	11.0048
AU21663403	AU_002	AU152706	315.1623	[M+H]+	2801	C19H23ClN2	9.244
AU34074932	AU_002	AU272001,AU272002,AU272003,AU272004,AU272005,AU272006	230.0246	[M+H]+	2803	C9H9Cl2N3	3.688
AU10805206	AU_002	AU268901,AU268902,AU268903,AU268904,AU268905,AU268906	345.1153	[M+H]+	2812	C22H17ClN2	11.170499999999999
AU18442448	AU_002	AU272701,AU272702,AU272703,AU272704,AU272705,AU272706	261.03209999999996	[M+H]+	2907	C7H15Cl2N2O2P	6.2123333333333335
AU97249126	AU_002	AU158301,AU158302,AU158303,AU158304,AU158305	315.2319	[M+H]+	2978	C21H30O2	13.790600000000001
AU36251325	AU_002	AU161102,AU161103,AU161104,AU161105	271.0633	[M+H]+	2997	C15H11ClN2O	8.975
AU81350758	AU_002	AU154001,AU154002	136.1121	[M+H]+	3007	C9H13N	4.4055
AU33972787	AU_002	AU154030	158.094	[M+Na]+	3007	C9H13N	8.248
AU74509021	AU_002	AU160801,AU160802,AU160803,AU160804,AU160805,AU160806	285.0789	[M+H]+	3016	C16H13ClN2O	9.365333333333334
