CCOC(=O)N1CCN(CC1)C2=CC=C(C=C2)NS(=O)(=O)CC	112984421	LHXMBYHYYXSZCY-UHFFFAOYSA-N	C15H23N3O4S
C[C@H](CN1CCN(CC1)C(=O)CC2=CC=C(C=C2)S(=O)(=O)N)O	95750556	LDXAETCWEAWOTF-GFCCVEGCSA-N	C15H23N3O4S
C[C@H](C1=CC=CC=C1NS(=O)(=O)C)NC(=O)NC[C@@H]2CCCO2	95259206	KDJDVFSMFMGHCK-NEPJUHHUSA-N	C15H23N3O4S
CC1=CC(=C(C=C1NC(=O)NCC[S@@](=O)C(C)(C)C)[N+](=O)[O-])C	97882651	IIFRVKKLONKIPI-HSZRJFAPSA-N	C15H23N3O4S
CCCS(=O)(=O)NC1=CC=CC(=C1)C(=O)NCC2CNCC2O	120947933	YMXNMOJWDVMDAW-UHFFFAOYSA-N	C15H23N3O4S
C/C=C(/CCS(=O)(=O)NC(=C)NC1=C(C=CC=C1OC)OC)\N	148960190	PRQUIHKAPLDINP-XGICHPGQSA-N	C15H23N3O4S
CC1=C(C(=CC=C1)[N+](=O)[O-])S(=O)(=O)NCC2C(CCCN2)(C)C	120666434	ZSMMOOXVSBHUEV-UHFFFAOYSA-N	C15H23N3O4S
CC1CCCCC1CNC2=C(C=C(C=C2)S(=O)(=O)NC)[N+](=O)[O-]	133274577	DPTBFQTZLSCBIZ-UHFFFAOYSA-N	C15H23N3O4S
C/C(=C\C=C)/C(C(=O)N)N.CC1([C@@H](N2[C@H](S1)CC2=O)C(=O)O)C	88665949	YAMNOIUGGWOIOB-OQJMMDIDSA-N	C15H23N3O4S
CCCS(=O)(=O)NC1=CC=CC(=C1)NC(=O)C2(CCOCC2)N	120028293	OZSVPPAJFDDGMQ-UHFFFAOYSA-N	C15H23N3O4S
CS(=O)(=O)C1=CC=C(C=C1)NC(=O)NC[C@H](CN2CCCC2)O	125168557	CXKYMYHNFXFYDH-CYBMUJFWSA-N	C15H23N3O4S
CNCCCC(=O)NC1=CC(=CC=C1)S(=O)(=O)N2CCOCC2	119671805	YJHXCWBBRGTTJI-UHFFFAOYSA-N	C15H23N3O4S
COCC(C(=O)NC1=CC(=CC=C1)S(=O)(=O)N2CCCCC2)N	121712181	CHQQJXUIQBMTSF-UHFFFAOYSA-N	C15H23N3O4S
CCCNC(=O)C(C)NC(=O)C1=CC=C(C=C1)S(=O)(=O)NCC	16329868	XLTBVLJEVNNAPY-UHFFFAOYSA-N	C15H23N3O4S
CCNC(=O)[C@@H](C)NC(=O)C1=C(C=CC(=C1)S(=O)(=O)N(C)C)C	9509707	KTHCPIALMVUJOO-LLVKDONJSA-N	C15H23N3O4S
CCCS(=O)(=O)N1CCC[C@@]2(C1)C[C@H](CO2)OC3=NC=CC=N3	98778141	ZBBJOWYLWRNOGL-HIFRSBDPSA-N	C15H23N3O4S
CCC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N2CCC(C(C2)(C)C)N	120779749	ZOXGQUHLVJEKQL-UHFFFAOYSA-N	C15H23N3O4S
CN1C=C(N=C1)S(=O)(=O)N2CCO[C@H]3CC[C@H]2[C@H]3OCC4CC4	98812007	DYCAWZYEFDVQEW-KCQAQPDRSA-N	C15H23N3O4S
CC(C1CCCN(C1)S(=O)(=O)C2=CC(=C(C=C2)OC)C(=O)N)N	119984172	AHFDYJDMNIHNSE-UHFFFAOYSA-N	C15H23N3O4S
