accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AC37102433	AC_003	AC000035,AC000036,AC000037	351.047	[M+Na]+	2724361	3.0400000000000005
AC40399616	AC_003	AC000038,AC000039,AC000040	331.0807	[M+H]+	2724362	2.9500000000000006
AC24684647	AC_003	AC000041,AC000042,AC000043	353.0626	[M+Na]+	2724362	2.9500000000000006
AC16823035	AC_003	AC000471,AC000472,AC000473,AC000474,AC000475	722.3952	[M+H]+	2733487	2.71
AC93776806	AC_003	AC000476,AC000477,AC000478,AC000479	744.3771	[M+Na]+	2733487	2.71
AC30822559	AC_003	AC000480,AC000481,AC000482,AC000483,AC000484	706.4003	[M+H]+	2733489	2.88
AC25010572	AC_003	AC000485,AC000486,AC000487,AC000488	728.3822	[M+Na]+	2733489	2.88
AC07742317	AC_003	AC000642,AC000643,AC000644,AC000645,AC000646	305.1742	[M-H2O+H]+	2999413	3.25
AC15837123	AC_003	AC000574,AC000575,AC000576,AC000577,AC000578	784.4162	[M+H]+	3007984	4.65
AC01530346	AC_003	AC000579,AC000580,AC000581,AC000582	806.3982	[M+Na]+	3007984	4.65
AC12358989	AC_003	AC000627,AC000628,AC000629,AC000630,AC000631	299.1484	[M+H]+	3034745	2.26
AC25958538	AC_003	AC000535,AC000536,AC000537,AC000538,AC000539	377.0861	[M+H]+	3084307	3.28
AC89996817	AC_003	AC000160,AC000161,AC000162,AC000163,AC000164	377.0861	[M+H]+	3084308	3.18
AC81206694	AC_003	AC000224,AC000225,AC000226,AC000227,AC000228	325.0701	[M+H]+	5280389	3.7400000000000007
AC75264043	AC_003	AC000632,AC000633,AC000634,AC000635,AC000636	415.23339999999996	[M+H]+	5281143	3.15
AC70834771	AC_003	AC000323,AC000324,AC000325,AC000326	257.1643	[M+H]+	5281381	2.37
AC16100217	AC_003	AC000288,AC000289,AC000290,AC000291,AC000292	319.1535	[M+H]+	5281576	3.65
AC47092794	AC_003	AC000513,AC000514,AC000515,AC000516	313.1276	[M+H]+	5284433	2.15
