accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
BS54599186	BS_000	BS001123	795.4572	[M-H]-	134755457	C42H68O14	17.970000000000002
BS49945490	BS_000	BS001122	795.4482	[M-H]-	134755458	C42H68O14	17.68
BS96035835	BS_000	BS001108	1067.544	[M-H]-	134755720	C54H84O21	19.06
BS32773228	BS_000	BS001174,BS001176	1545.654	[M-H]-	134762012	C69H110O38	10.965
BS80518685	BS_000	BS001160,BS001162	1059.4965000000002	[M-H]-	134763813	C51H80O23	12.1
BS12676231	BS_000	BS001147	1149.563	[M+HCOO]-	134763947	C54H88O23	12.83
BS48628730	BS_000	BS001000	1087.51	[M-H]-	134764709	C52H80O24	13.29
BS39419857	BS_000	BS001202	851.4425	[M-H]-	134766319	C44H68O16	16.003
BS90363812	BS_000	BS001200	865.4247	[M-H]-	134767262	C44H66O17	14.25
BS64302079	BS_000	BS001002	1381.61	[M-H]-	134769108	C63H98O33	12.8
BS64299686	BS_000	BS001154	811.4452	[M+HCOO]-	134769728	C41H66O13	15.44
BS87330671	BS_000	BS001164	1027.505	[M-H]-	134771145	C51H80O21	18.1
BS25005123	BS_000	BS001178	1545.667	[M-H]-	134772405	C69H110O38	11.120000000000001
BS08573651	BS_000	BS001156	1383.597	[M-H]-	134772551	C63H100O33	11.479999999999999
BS47931366	BS_000	BS001169	1073.533	[M-H]-	134773062	C52H82O23	13.65
BS17004475	BS_000	BS001223	1677.698	[M-H]-	134773658	C74H118O42	11.01
BS31303179	BS_000	BS003410,BS003412	957.52305	[M-H]-	134775651	C48H78O19	16.91
BS59767177	BS_000	BS001060	562.313	[M+HCOO]-	134777355	C26H48NO7P	20.959999999999997
BS66675638	BS_000	BS001182,BS001184	1529.654	[M-H]-	134780432	C69H110O37	12.600000000000001
BS26957246	BS_000	BS001194	793.4521	[M-H]-	134782085	C42H66O14	15.75
BS14669030	BS_000	BS001144	857.4518	[M+HCOO]-	134785551	C42H68O15	12.72
BS43772768	BS_000	BS001141	987.4766	[M-H]-	145994435	C48H76O21	12.65
