accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	molecular_formula	retention_time
UF73645790	UF_002	UF407303,UF407304	323.0196	[M+H]+	298	C11H12Cl2N2O5	19.347
UF20413317	UF_002	UF406603,UF406604	231.1016	[M+H]+	1302	C14H14O3	24.337
UF12656229	UF_002	UF409103,UF409104	152.0706	[M+H]+	1983	C8H9NO2	8.61
UF75296182	UF_002	UF414703,UF414704	152.1434	[M+H]+	2130	C10H17N	15.657
UF19391750	UF_002	UF408303,UF408304	204.1131	[M+H]+	2151	C11H13N3O	7.553
UF74071927	UF_002	UF406803,UF406804	189.1022	[M+H]+	2206	C11H12N2O	16.961
UF97674527	UF_002	UF406835,UF406836	211.0842	[M+Na]+	2206	C11H12N2O	17.107
UF06118021	UF_002	UF407603,UF407604	267.1703	[M+H]+	2249	C14H22N2O3	6.668
UF22206218	UF_002	UF403303,UF403304	216.101	[M+H]+	2256	C8H14ClN5	23.294
UF70905112	UF_002	UF402403,UF402404	224.0917	[M+H]+	2314	C11H13NO4	21.559
UF56650963	UF_002	UF408903,UF408904	195.0877	[M+H]+	2519	C8H10N4O2	15.78
UF31116900	UF_002	UF408103,UF408104	455.2904	[M+H]+	2520	C27H38N2O4	20.942
UF06624168	UF_002	UF411003,UF411004	389.1626	[M+H]+	2678	C21H25ClN2O3	22.999
UF35101818	UF_002	UF411803,UF411804	325.1711	[M+H]+	2771	C20H21FN2O	19.979
UF51376549	UF_002	UF411903,UF411904	261.0321	[M+H]+	2907	C7H15Cl2N2O2P	20.254
UF48319231	UF_002	UF408403,UF408404	285.0789	[M+H]+	3016	C16H13ClN2O	24.416
UF17884918	UF_002	UF400603	305.1083	[M+H]+	3017	C12H21N2O3PS	26.263
UF02259101	UF_002	UF418003,UF418004	279.1591	[M+H]+	3026	C16H22O4	27.06
UF66339834	UF_002	UF409303,UF409304	296.024	[M+H]+	3033	C14H11Cl2NO2	25.979
UF29524320	UF_002	UF400103,UF400104	220.9532	[M+H]+	3039	C4H7Cl2O4P	21.401
UF18058005	UF_002	UF400303,UF400304	230.0069	[M+H]+	3082	C5H12NO3PS2	18.113
UF90987652	UF_002	UF411603,UF411604	256.1696	[M+H]+	3100	C17H21NO	20.038
UF76947110	UF_002	UF402703,UF402704	384.9949	[M+H]+	3286	C9H22O4P2S4	27.505
UF60826247	UF_002	UF407803,UF407804	331.015	[M+H]+	3440	C12H11ClN2O5S	21.027
UF51890137	UF_002	UF411403,UF411404	172.1332	[M+H]+	3446	C9H17NO2	11.872
UF87102289	UF_002	UF410203,UF410204	235.1805	[M+H]+	3676	C14H22N2O	14.456
UF05022593	UF_002	UF407103,UF407104	231.1492	[M+H]+	3778	C14H18N2O	22.25
UF95803742	UF_002	UF408603,UF408604	255.1016	[M+H]+	3825	C16H14O3	23.842
UF66911482	UF_002	UF409403,UF409404	242.1176	[M+H]+	4044	C15H15NO2	27.002
UF43565536	UF_002	UF412403,UF412404	130.1087	[M+H]+	4091	C4H11N5	2.136
UF03506626	UF_002	UF404003,UF404004	284.1412	[M+H]+	4169	C15H22ClNO2	25.526
UF98849617	UF_002	UF407203,UF407204	268.1907	[M+H]+	4171	C15H25NO3	17.049
UF37397853	UF_002	UF417603,UF417604	192.1383	[M+H]+	4284	C12H17NO	23.167
UF96561475	UF_002	UF417635,UF417636	214.1202	[M+Na]+	4284	C12H17NO	22.729
UF26790995	UF_002	UF407503,UF407504	362.1511	[M+H]+	4583	C18H20FN3O4	15.858
UF77100976	UF_002	UF407903,UF407904	330.15	[M+H]+	4691	C19H20FNO3	21.605
UF83666267	UF_002	UF409803,UF409804	249.1598	[M+H]+	4828	C14H20N2O2	14.015
UF93079343	UF_002	UF409503,UF409504	219.1128	[M+H]+	4909	C12H14N2O2	18.377
UF63696818	UF_002	UF403703,UF403704	242.1434	[M+H]+	4929	C10H19N5S	23.242
UF51198644	UF_002	UF402603,UF402604,UF404103,UF404104	202.0854	[M+H]+	5216	C7H12ClN5	21.882
UF09851343	UF_002	UF409903,UF409904	279.091	[M+H]+	5327	C12H14N4O2S	15.703
UF16723935	UF_002	UF409935,UF409936	301.073	[M+Na]+	5327	C12H14N4O2S	15.526
UF31531356	UF_002	UF408803,UF408804	250.0645	[M+H]+	5336	C11H11N3O2S	12.653
UF78652704	UF_002	UF401503,UF401504	202.0433	[M+H]+	5430	C10H7N3S	15.483
UF46136704	UF_002	UF410603,UF410604	291.1452	[M+H]+	5578	C14H18N4O3	14.856
UF23354216	UF_002	UF416603,UF416604	291.2319	[M+H]+	5879	C19H30O2	25.715
UF76416121	UF_002	UF415103,UF415104	315.2319	[M+H]+	5994	C21H30O2	26.182
UF72447976	UF_002	UF410403,UF410404	232.1444	[M+H]+	6009	C13H17N3O	7.76
UF48207560	UF_002	UF416003,UF416004	289.2162	[M+H]+	6013	C19H28O2	24.975
UF27733471	UF_002	UF416035,UF416036	311.1982	[M+Na]+	6013	C19H28O2	25.027
UF31557817	UF_002	UF412703,UF412704	117.0659	[M+H]+	6046	C4H8N2O2	4.445
UF71116572	UF_002	UF416503,UF416504	287.2006	[M+H]+	6128	C19H26O2	24.312
UF59627432	UF_002	UF415003,UF415004	299.2006	[M+H]+	6230	C20H26O2	24.366
UF73245250	UF_002	UF418503,UF418504	172.0427	[M+H]+	6269	C7H9NO2S	16.741
UF63371488	UF_002	UF424003,UF424004	251.0373	[M+H]+	6626	C12H10O4S	19.349
UF23274151	UF_002	UF419703,UF419704	200.074	[M+H]+	6637	C9H13NO2S	21.233
UF01014144	UF_002	UF414603,UF414604	122.0964	[M+H]+	6896	C8H11N	13.256
UF77130159	UF_002	UF413903,UF413904	220.1121	[M+H]+	7013	C16H13N	26.816
UF46296853	UF_002	UF414403,UF414404	269.1648	[M+H]+	7031	C17H20N2O	25.805
UF49025971	UF_002	UF415803,UF415804,UF423403,UF423404	195.1016	[M+H]+	7184	C11H14O3	24.665
UF60218813	UF_002	UF417703,UF417704	120.0556	[M+H]+	7220	C6H5N3	16.478
UF16915668	UF_002	UF420803	136.0215	[M+H]+	7222	C7H5NS	21.154
UF77514259	UF_002	UF414503,UF414504	136.1121	[M+H]+	7464	C9H13N	17.002
UF02461774	UF_002	UF404503,UF404504	165.1022	[M+H]+	7560	C9H12N2O	17.437
UF46646458	UF_002	UF413703,UF413704	227.1543	[M+H]+	7573	C15H18N2	12.896
UF08349298	UF_002	UF413803,UF413804	128.0262	[M+H]+	7812	C6H6ClN	8.827
UF84492832	UF_002	UF417503,UF417504	327.0781	[M+H]+	8289	C18H15O4P	26.251
UF37885865	UF_002	UF414003,UF414004	245.1285	[M+H]+	8411	C14H16N2O2	9.299
UF87321422	UF_002	UF415603,UF415604,UF423303,UF423304	167.0703	[M+H]+	8434	C9H10O3	21.86
UF82040586	UF_002	UF414303,UF414304	217.0794	[M+H]+	8765	C12H12N2S	16.228
UF90131673	UF_002	UF413303,UF413304	194.0964	[M+H]+	9212	C14H11N	25.114
UF17801599	UF_002	UF403103,UF403104	249.0192	[M+H]+	9502	C9H10Cl2N2O2	24.574
UF07300727	UF_002	UF403803,UF403804	358.9768	[M+H]+	10107	C12H14Cl3O4P	26.076
UF63167115	UF_002	UF419803,UF419804	182.0093	[M+H]+	11989	C8H7NS2	24.845
UF49416559	UF_002	UF404803,UF404804	228.1277	[M+H]+	13263	C9H17N5S	21.743
UF04344597	UF_002	UF414203,UF414204	227.1543	[M+H]+	13283	C15H18N2	19.644
UF87388939	UF_002	UF416403,UF416404	341.2111	[M+H]+	13789	C22H28O3	24.61
UF01012908	UF_002	UF403003,UF403004	174.0541	[M+H]+	13878	C5H8ClN5	16.341
UF03760510	UF_002	UF402103,UF402104	214.1121	[M+H]+	13905	C8H15N5S	20.093
UF79218540	UF_002	UF401803,UF401804	222.0429	[M+H]+	15546	C10H8ClN3O	18.587
UF44076911	UF_002	UF404603,UF404604	291.0895	[M+H]+	16115	C15H15ClN2O2	25.093
UF31553889	UF_002	UF405103,UF405104	189.9821	[M+H]+	16183	C7H5Cl2NO	14.306
UF90474679	UF_002	UF405703,UF405704	226.0896	[M+H]+	16248	C11H15NO2S	24.497
UF68747964	UF_002	UF404703,UF404704	235.1441	[M+H]+	16559	C13H18N2O2	23.559
UF88254546	UF_002	UF405203,UF405204	204.993	[M+H]+	16854	C7H6Cl2N2O	22.812
UF57994960	UF_002	UF413403,UF413404	171.1856	[M+H]+	17857	C10H22N2	2.214
UF43445778	UF_002	UF403203,UF403204	230.1167	[M+H]+	22206	C9H16ClN5	24.653
UF02122521	UF_002	UF402503,UF402504	188.0697	[M+H]+	22563	C6H10ClN5	19.159
UF49392822	UF_002	UF405003,UF405004	192.0768	[M+H]+	25429	C9H9N3O2	13.381
UF85907366	UF_002	UF402003,UF402004	374.0934	[M+H]+	26033	C14H20N3O5PS	26.552
UF18062781	UF_002	UF400703,UF400704	213.0789	[M+H]+	27375	C10H13ClN2O	22.946
UF26791504	UF_002	UF413503,UF413504	151.0866	[M+H]+	31230	C8H10N2O	2.292
UF82660502	UF_002	UF418803,UF418804	267.172	[M+H]+	31355	C12H27O4P	26.725
UF37469877	UF_002	UF403903,UF403904	239.1503	[M+H]+	31645	C11H18N4O2	17.533
UF81811169	UF_002	UF420403,UF420404	257.0808	[M+H]+	31736	C15H12O4	23.531
UF16980842	UF_002	UF401603,UF401604	287.0948	[M+H]+	33360	C13H18O5S	24.205
UF60866780	UF_002	UF410303,UF410304	264.1958	[M+H]+	33741	C16H25NO2	16.697
UF20566903	UF_002	UF402803,UF402804	306.1036	[M+H]+	34526	C11H20N3O3PS	26.211
UF97926691	UF_002	UF402819	305.0958	[M]+	34526	C11H20N3O3PS	26.263
UF24420641	UF_002	UF400503,UF400504	207.1492	[M+H]+	36679	C12H18N2O	23.351
UF41208514	UF_002	UF400903,UF400904	297.0556	[M+H]+	37175	C14H14Cl2N2O	21.338
UF39939002	UF_002	UF405903,UF405904	282.1448	[M+H]+	38479	C13H19N3O4	27.954
UF39801800	UF_002	UF401703,UF401704	203.0927	[M+H]+	38854	C10H10N4O	17.809
UF87147543	UF_002	UF403503,UF403504	342.0771	[M+H]+	43234	C15H17Cl2N3O2	26.146
UF88349313	UF_002	UF403603,UF403604	278.1055	[M+H]+	49384	C14H16ClN3O	23.009
UF64770926	UF_002	UF405603,UF405604	240.0786	[M+H]+	54778	C12H14ClNO2	23.949
UF68180550	UF_002	UF411503,UF411504	373.285	[M+H]+	57363	C23H36N2O2	25.045
UF59219930	UF_002	UF406303,UF406304	252.1417	[M+H]+	62020	C14H21NOS	27.063
UF99431927	UF_002	UF418403,UF418404	281.9986	[M+H]+	62097	C8H12INO2	23.011
UF69213858	UF_002	UF411703,UF411704	296.07	[M+H]+	65280	C12H13N3O4S	19.115
UF35614515	UF_002	UF408203,UF408204	246.1237	[M+H]+	65743	C13H15N3O2	14.778
UF23330210	UF_002	UF410703,UF410704	217.0972	[M+H]+	70371	C12H12N2O2	14.922
UF48986222	UF_002	UF409603,UF409604	360.1718	[M+H]+	71188	C19H22FN3O3	16.54
UF16146396	UF_002	UF411303,UF411304	232.1081	[M+H]+	72666	C12H13N3O2	14.603
UF71158142	UF_002	UF405803,UF405804	376.0381	[M+H]+	73665	C15H16Cl3N3O2	25.792
UF74358368	UF_002	UF401103,UF401104	316.1076	[M+H]+	73675	C16H15F2N3Si	25.585
UF34961864	UF_002	UF417003,UF417004	201.0692	[M+H]+	74369	C8H12N2O2S	16.063
UF20942703	UF_002	UF413603,UF413604	137.0709	[M+H]+	76079	C7H8N2O	2.928
UF06542517	UF_002	UF410903,UF410904	271.1077	[M+H]+	83852	C15H14N2O3	19.582
UF31108056	UF_002	UF404303,UF404304	308.1524	[M+H]+	86102	C16H22ClN3O	25.941
UF61897917	UF_002	UF401903,UF401904	298.2741	[M+H]+	86160	C18H35NO2	22.891
UF56995603	UF_002	UF403403,UF403404	254.1434	[M+H]+	91590	C11H19N5S	24.007
UF07759894	UF_002	UF402303,UF402304	304.2635	[M+H]+	91695	C20H33NO	22.432
UF05043147	UF_002	UF401003,UF401004	395.0813	[M+H]+	91735	C19H11F5N2O2	26.827
UF24430553	UF_002	UF406403,UF406404	334.1049	[M+H]+	91755	C18H14F3NO2	24.282
UF97515017	UF_002	UF401303,UF401304	329.0245	[M+H]+	91760	C14H13ClO5S	21.259
UF90961039	UF_002	UF406103,UF406104	312.0665	[M+H]+	119361	C14H15Cl2N3O	25.64
UF80109735	UF_002	UF420703,UF420704	230.1751	[M+H]+	125098	C12H23NO3	23.925
UF36262798	UF_002	UF411103,UF411104	253.0972	[M+H]+	129274	C15H12N2O2	19.668
UF95990537	UF_002	UF401403,UF401404	399.0969	[M+H]+	177355	C15H18N4O7S	22.275
UF60290723	UF_002	UF406003,UF406004	343.0399	[M+H]+	213013	C18H12Cl2N2O	24.426
UF40731528	UF_002	UF415403,UF415404,UF415703,UF415704,UF423103,UF423104	361.201	[M+H]+	222786	C21H28O5	22.017
UF37079400	UF_002	UF416803,UF416804	291.2319	[M+H]+	441302	C19H30O2	26.467
UF93243772	UF_002	UF412803,UF412804	321.1333	[M+H]+	446541	C17H20O6	23.922
UF97331805	UF_002	UF416103,UF416104,UF423703,UF423704	269.1536	[M+H]+	448537	C18H20O2	24.897
UF84903064	UF_002	UF410003,UF410004	531.156	[M+H]+	456201	C26H28Cl2N4O4	21.827
UF43548614	UF_002	UF413003,UF413004	177.1022	[M+H]+	854019	C10H12N2O	2.635
UF89771089	UF_002	UF410503,UF410504	407.221	[M+H]+	3000540	C18H34N2O6S	13.488
UF40007523	UF_002	UF412103,UF412104	315.1485	[M+H]+	3001055	C13H22N4O3S	6.861
UF30063906	UF_002	UF402203,UF402204	404.1241	[M+H]+	3034285	C22H17N3O5	24.061
UF41753668	UF_002	UF406503,UF406504	377.0908	[M+H]+	3294375	C19H12F4N2O2	27.356
UF56706141	UF_002	UF405503,UF405504	308.004	[M+H]+	3391107	C15H8Cl2FNO	27.738
UF12717547	UF_002	UF419303,UF419304	177.0546	[M+H]+	5280567	C10H8O3	20.082
UF90752696	UF_002	UF416203,UF416204,UF423803,UF423804	271.0601	[M+H]+	5280961	C15H10O5	22.703
UF02659147	UF_002	UF416303,UF416304,UF423903,UF423904	255.0652	[M+H]+	5281708	C15H10O4	21.699
UF85455441	UF_002	UF406203,UF406204	296.1412	[M+H]+	6450826	C16H22ClNO2	25.309
UF79370622	UF_002	UF418103,UF418104	255.0838	[M+H]+	9795026	C16H14OS	28.18
UF71264788	UF_002	UF401203,UF401204	409.137	[M+H]+	11664966	C20H19F3N2O4	26.689
UF57746055	UF_002	UF420603,UF420604	223.0965	[M+H]+	22394963	C12H14O4	23.296
UF13167145	UF_002	UF420635,UF420636	245.0784	[M+Na]+	22394963	C12H14O4	23.375
UF12032124	UF_002	UF418603,UF418604	399.2506	[M+H]+	23461823	C18H39O7P	27.217
UF89786310	UF_002	UF409003,UF409004	232.0524	[M+H]+	53423421	C13H10ClNO	26.608
UF09849682	UF_002	UF404203,UF404204	309.1121	[M+H]+	54678486	C19H16O4	24.707
UF19905158	UF_002	UF420103,UF420104	136.0505	[M+H]+	135399369	C6H5N3O	13.333
UF21240887	UF_002	UF419503,UF419504	153.1022	[M+H]+	135444498	C8H12N2O	12.433
