accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
CE76588252	CE_001	CE000133,CE000134	354.1336	[M+H]+	197810	9.501541666666668
CE01069927	CE_001	CE000163,CE000164,CE000165,CE000166	414.15473	[M+H]+	275196	10.022875
CE04527813	CE_001	CE000543	365.10544	[M+Na]+	441422	0.22633333333333333
CE56155790	CE_001	CE000186,CE000187,CE000188,CE000189	581.18649	[M+H]+	442428	10.527120833333333
CE75805773	CE_001	CE000093,CE000094,CE000095,CE000096	229.08592	[M+H]+	445154	11.4696375
CE38540964	CE_001	CE000061,CE000062,CE000063,CE000064	275.13902	[M+H]+	446641	12.161341666666669
CE59282487	CE_001	CE000580	220.11929	[M+H]+	449093	0.0415
CE15275009	CE_001	CE000108,CE000109,CE000110,CE000111	355.154	[M+H]+	639665	18.485125
CE71604190	CE_001	CE000235	220.11929	[M+H]+	688597	0.06294166666666666
CE07569506	CE_001	CE000098,CE000099,CE000100,CE000101	239.09141	[M+H]+	735755	12.285333333333334
CE10414707	CE_001	CE000191,CE000192	315.16097	[M]+	2723801	10.907266666666667
CE80912814	CE_001	CE000306	300.28971	[M+H]+	5280335	0.18266666666666667
CE93419671	CE_001	CE000168,CE000169,CE000170	303.04993	[M+H]+	5280343	12.228699999999998
CE84188269	CE_001	CE000046,CE000047,CE000048,CE000049	285.07576	[M+H]+	5280373	16.065541666666665
CE81113279	CE_001	CE000693	382.17212	[M+H]+	5280589	0.006213333333333334
CE55288483	CE_001	CE000136,CE000137,CE000138,CE000139	611.16067	[M+H]+	5280805	9.742670833333333
CE13652905	CE_001	CE000172,CE000173,CE000174	287.05502	[M+H]+	5280863	13.34201111111111
CE64661760	CE_001	CE000011,CE000012,CE000013	271.0601	[M+H]+	5280961	13.088627777777779
CE17197997	CE_001	CE000084,CE000085,CE000086	183.09168	[M+H]+	5281404	5.2076722222222225
CE05703763	CE_001	CE000041,CE000042,CE000043,CE000044	539.09728	[M+H]+	5281600	14.192424999999998
CE12670821	CE_001	CE000153,CE000154,CE000155,CE000156	579.17084	[M+H]+	5282151	9.588554166666666
CE92708961	CE_001	CE000542	352.16155	[M+H]+	6440982	0.04160166666666667
CE62936951	CE_001	CE000238	382.17212	[M+H]+	9842892	0.006226666666666667
CE57377153	CE_001	CE000222,CE000223	514.21438	[M+H]+	11713250	0.12165666666666666
CE20132503	CE_001	CE000261	352.16155	[M+H]+	13935024	0.10631666666666666
CE74111617	CE_001	CE000471	382.17212	[M+H]+	25244165	0.04006833333333334
CE29101326	CE_001	CE000607	382.17212	[M+H]+	101921807	0.09452833333333334
CE23014846	CE_001	CE000441	1153.38762	[M+H]+	137628429	0.0013333333333333333
CE76464280	CE_001	CE000606	851.26391	[M+Na]+	137628550	0.06766666666666667
