accession	dataset	original_accessions	precursor_mz	precursor_type	pubchem_id	retention_time
AU68046093	AU_000	AU230057,AU230058,AU230059,AU230060	207.0121	[M-H]-	8420	4.7995
AU18670950	AU_000	AU236657,AU236658,AU236659,AU236662	217.0426	[M-H]-	8425	10.94275
AU13813963	AU_000	AU236757,AU236758,AU236759,AU236762	165.0557	[M-H]-	8434	7.1405
AU69676344	AU_000	AU241657,AU241658,AU241659,AU241662	132.0567	[M-H]-	8705	5.757499999999999
AU46571952	AU_000	AU240757,AU240758,AU240759,AU240762,AU406651,AU406652,AU406653,AU406656	265.1479	[M-H]-	8778	11.39
AU04044189	AU_000	AU232357,AU232358,AU232359,AU232360	247.0047	[M-H]-	9502	9.2595
AU69947746	AU_000	AU240457,AU240458,AU240459,AU240460,AU240462,AU594850,AU594851,AU594852,AU594853	412.96640000000014	[M-H]-	9554	9.69188888888889
AU26237030	AU_000	AU240357,AU240358,AU240359,AU240360,AU240362,AU595050,AU595051,AU595052,AU595053	512.96	[M-H]-	9555	11.089
AU20529199	AU_000	AU238157,AU238158,AU238162,AU594450,AU594451	212.9792	[M-H]-	9777	4.8870000000000005
AU97815818	AU_000	AU239557,AU239558,AU239559,AU239560	343.2279	[M-H]-	10631	10.696250000000001
AU69935837	AU_000	AU237357,AU237358,AU237359,AU237360,AU237362	194.9177	[M-H]-	11859	10.719000000000001
AU40750962	AU_000	AU230157,AU230158,AU230159	249.0322	[M-H]-	13282	6.406666666666666
AU40296584	AU_000	AU405951,AU405952	150.0019	[M-H]-	13625	6.4765
AU51372592	AU_000	AU236957,AU236958,AU236960,AU236962	347.9158	[M-H]-	14385	10.722
AU11953060	AU_000	AU231757,AU231758	220.0283	[M-H]-	15546	5.282
AU36787216	AU_000	AU241857,AU241858,AU241859,AU241862,AU400351,AU400352	202.9784	[M-H]-	16854	7.843000000000001
AU81630122	AU_000	AU594050,AU594051,AU594052,AU594053,AU594054	583.983	[M-H]-	18134	11.6664
AU25688149	AU_000	AU400151,AU400152,AU400153,AU400154	216.9941	[M-H]-	19113	8.31175
AU93733999	AU_000	AU229957,AU229958,AU229959	212.0751	[M-H]-	19241	7.712
AU40562565	AU_000	AU200551	213.0557	[M-H]-	19539	6.387
AU73323492	AU_000	AU231457,AU231458	211.0644	[M-H]-	27375	7.996500000000001
AU77148993	AU_000	AU233357,AU233358,AU233359,AU233360	345.0874	[M-H]-	29393	10.23875
AU64145258	AU_000	AU240057,AU240058,AU240059,AU240060	393.1719	[M-H]-	31307	6.3447499999999994
AU95340482	AU_000	AU232157,AU232158,AU232159	254.0145	[M-H]-	32154	9.703666666666665
AU09364677	AU_000	AU232457,AU232458,AU232459,AU232460	244.9082	[M-H]-	34217	7.4765
AU88999044	AU_000	AU237757,AU237762	161.9867	[M-H]-	36573	2.341
AU96550124	AU_000	AU233257,AU233258,AU233259,AU233260	309.0248	[M-H]-	37123	10.56925
AU20884436	AU_000	AU236457,AU236458,AU236459,AU236460	291.0906	[M-H]-	37907	10.07725
AU47417514	AU_000	AU231657,AU231658,AU231659,AU231660	201.0782	[M-H]-	38854	5.18375
AU25755667	AU_000	AU234157,AU234158,AU234159,AU234160	360.1008	[M-H]-	39042	7.597499999999999
AU84714619	AU_000	AU236557,AU236558,AU236559,AU236560	347.1183	[M-H]-	41781	7.1762500000000005
AU09708139	AU_000	AU106751,AU106752,AU106753,AU106754,AU106755	356.9428	[M-H]-	50248	11.69
AU66815913	AU_000	AU229457,AU229458,AU229459,AU229462	197.0833	[M-H]-	53462	5.037750000000001
