accession	inchikey1	model	ionization
AC63685527	VHQZIMAMLQIPDR	0	positive
AC63768908	LRXYHMMJJCTUMY	0	positive
AC66124102	CBGDIJWINPWWJW	0	positive
AC66895471	GBUQOBUNFQDAQG	0	positive
AC68553697	YDOTUXAWKBPQJW	0	positive
AC70418511	MHZVWXOKIRZLCJ	0	positive
AC70834771	SAHHMCVYMGARBT	0	positive
AC71249749	HPNSFSBZBAHARI	3	positive
AC71313393	WWSYXEZEXMQWHT	0	positive
AC71328518	OWKLJRMFTXDULF	0	positive
AC71357652	CEIZFXOZIQNICU	0	positive
AC73183794	YDOTUXAWKBPQJW	0	positive
AC73520498	CPCRJSQNWHCGOP	0	positive
AC74377700	CTXQVLLVFBNZKL	0	positive
AC75264043	SIIRBDOFKDACOK	0	positive
AC75551395	APLKWZASYUZSBL	0	positive
AC75596518	HHLNXXASUKFCCX	0	positive
AC75700547	XGCUCFKWVIWWNW	0	positive
AC76268969	ZSRVBNXAPSQDFY	0	positive
AC77046302	LCSDQFNUYFTXMT	0	positive
AC77241662	UKOTXHQERFPCBU	0	positive
AC77391134	QVZZPLDJERFENQ	0	positive
AC77655420	VOUGEZYPVGAPBB	0	positive
AC77658936	NSFWWJIQIKBZMJ	0	positive
AC77837615	XCGSFFUVFURLIX	0	positive
AC78006692	WYYKRDVIBOEORL	0	positive
AC79351964	COXWNIZQNAMTQL	0	positive
AC81206694	UTSVPXMQSFGQTM	0	positive
AC81323334	AJLFOPYRIVGYMJ	8	positive
AC81603083	KRQRRZFXHYYNSO	0	positive
AC83080544	CSJOUDOXDHMIAH	0	positive
AC84083646	JTJJJLSLKZFEPJ	0	positive
AC85199698	DAEYIVCTQUFNTM	0	positive
AC87966355	KMDKLWZQLMBIBS	0	positive
AC88170709	SMUNNMAWNRFDPB	0	positive
AC89579533	HEFIYUQVAZFDEE	0	positive
AC89986831	RFUGLBPILINWDW	0	positive
AC89996817	HNMWDXUKPJZOQD	0	positive
AC90335864	CTXQVLLVFBNZKL	0	positive
AC90587176	KEEQQEKLEZRLDS	0	positive
AC91188350	JKXUAFUJOVITSU	0	positive
AC92898733	QIJIOTTYIGBOQA	0	positive
AC93776806	UVBUBMSSQKOIBE	0	positive
AC93886112	TWHBYJSVDCWICV	0	positive
AC95072545	SJCPVUVBUQDGKN	0	positive
AC95807142	MWOFPQAPILIIPR	0	positive
AC96226057	SUVZUTHVKIBYOH	0	positive
AC96651883	SPWSUFUPTSJWNG	0	positive
AC97054718	KWILGNNWGSNMPA	0	positive
AC97469243	WVVSZNPYNCNODU	3	positive
AC97504475	CPCRJSQNWHCGOP	0	positive
AC98219449	PCMUPOUDXMFDRE	0	positive
AC98876347	VWMGBHVRRNKOAE	0	positive
AC99094847	XGCUCFKWVIWWNW	0	positive
AC99162705	INHVGPIPHZJQOP	0	positive
AC99336272	BXFOFFBJRFZBQZ	0	positive
AU00016413	HLFSDGLLUJUHTE	0	positive
AU00082761	CSWIKHNSBZVWNQ	0	positive
AU00107618	JVGWNJLSTCQSCZ	0	positive
AU00143071	NVIPUOMWGQAOIT	0	positive
AU00357067	RXZBMPWDPOLZGW	7	positive
AU00400808	SYOKIDBDQMKNDQ	0	positive
AU00425889	WSCUHXPGYUMQEX	4	positive
AU00589079	IRCMYGHHKLLGHV	0	positive
AU00680696	AMRQXHFXNZFDCH	0	positive
AU00744613	NCDNCNXCDXHOMX	0	positive
AU00887556	SCEVFJUWLLRELN	0	positive
AU00893043	FAEKWTJYAYMJKF	0	positive
AU00981432	NOCJXYPHIIZEHN	0	positive
AU01213677	PAFZNILMFXTMIY	0	positive
AU01322506	ZQSIJRDFPHDXIC	4	positive
AU01327890	CLFQSOIBYICELN	0	positive
AU01519645	JBIMVDZLSHOPLA	0	positive
AU01896782	SYELZBGXAIXKHU	0	positive
AU02041054	VLYWMPOKSSWJAL	1	positive
AU02042766	WPCVRWVBBXIRMA	0	positive
AU02105779	JWYUFVNJZUSCSM	0	positive
AU02243295	FZEYVTFCMJSGMP	0	positive
AU02245604	CBGUOGMQLZIXBE	5	positive
AU02287387	XPOQHMRABVBWPR	0	positive
AU02289708	LRUDIIUSNGCQKF	0	positive
AU02383261	JYGXADMDTFJGBT	8	positive
AU02408888	RBOXVHNMENFORY	0	positive
AU02424063	JDNLPKCAXICMBW	0	positive
AU02539265	SKPIISDJIUTQMZ	0	positive
AU02552249	RONZAEMNMFQXRA	0	positive
AU02629875	YFTHZRPMJXBUME	0	positive
AU02665323	OUSYWCQYMPDAEO	0	positive
AU02718037	WRMRXPASUROZGT	8	positive
AU02739111	CJPQIRJHIZUAQP	0	positive
AU02939754	VIKNJXKGJWUCNN	0	positive
AU03037979	JOFDPSBOUCXJCC	0	positive
AU03103433	VPZIYMMSJFWLSP	0	positive
AU03154165	LRUDIIUSNGCQKF	0	positive
AU03227750	VGKDLMBJGBXTGI	0	positive
AU03636466	NOQGZXFMHARMLW	0	positive
AU03749639	ZOMSMJKLGFBRBS	0	positive
AU03776173	WLOBUUJURNEQCL	0	positive
AU03851683	ZKLPARSLTMPFCP	1	positive
AU04112984	OJGDCBLYJGHCIH	0	positive
AU04184525	FBOZXECLQNJBKD	0	positive
AU04564669	MGNFYQILYYYUBS	0	positive
AU04720586	BXNANOICGRISHX	2	positive
AU05032667	LXCFILQKKLGQFO	0	positive
AU05042339	FQXWEKADCSXYOC	0	positive
AU05119744	PCZOHLXUXFIOCF	8	positive
AU05134974	ZFXYFBGIUFBOJW	2	positive
AU05515413	XUIIKFGFIJCVMT	0	positive
AU05624552	MBMQEIFVQACCCH	6	positive
AU05746263	AJRJPORIQGYFMT	0	positive
AU05805277	SUQHIQRIIBKNOR	0	positive
AU05841981	WTPMRQZHJLJSBO	0	positive
AU05911285	MFFMDFFZMYYVKS	0	positive
AU06008990	JGMOKGBVKVMRFX	0	positive
AU06374644	WBPYTXDJUQJLPQ	0	positive
AU06393739	MXXWOMGUGJBKIW	3	positive
AU06460793	LDBTVAXGKYIFHO	0	positive
AU06556285	GFGYMDAFJMPNCC	0	positive
AU06576737	FJTNLJLPLJDTRM	0	positive
AU06588963	XXOYNJXVWVNOOJ	0	positive
AU06976630	ONKNPOPIGWHAQC	0	positive
AU07002374	DUSHUSLJJMDGTE	0	positive
AU07026685	WURGXGVFSMYFCG	0	positive
AU07094276	DBEPLOCGEIEOCV	0	positive
AU07186471	CLSJYOLYMZNKJB	8	positive
AU07318127	SQSPRWMERUQXNE	0	positive
AU07374382	PJSFRIWCGOHTNF	1	positive
AU07404708	AGPKZVBTJJNPAG	1	positive
AU07629011	XXSMGPRMXLTPCZ	0	positive
AU07661902	BEQZHFIKTBVCAU	0	positive
AU07755073	CMPQUABWPXYYSH	0	positive
AU08004750	VEQOALNAAJBPNY	9	positive
AU08011727	JLYFCTQDENRSOL	0	positive
AU08357738	AQHHHDLHHXJYJD	8	positive
AU08368699	ASUOLLHGALPRFK	0	positive
AU08611681	RYLHNOVXKPXDIP	0	positive
AU08655070	WBPYTXDJUQJLPQ	0	positive
AU08700852	HTQMVQVXFRQIKW	0	positive
AU08765415	ZRWWEEVEIOGMMT	0	positive
AU08842475	CHNUNORXWHYHNE	0	positive
AU09162658	LEZHOZPJYAQQNU	0	positive
AU09235430	ASWVTGNCAZCNNR	2	positive
AU09237972	YWTYJOPNNQFBPC	0	positive
AU09525521	LTUNNEGNEKBSEH	0	positive
AU09657097	STEYNUVPFMIUOY	0	positive
AU09699148	GEFDRROBUCULOD	0	positive
AU09752196	LLIKIPAUZJTRGB	0	positive
AU09811612	JLKIGFTWXXRPMT	1	positive
AU09824838	WYKYKTKDBLFHCY	0	positive
AU10123950	CHMBIJAOCISYEW	0	positive
AU10217326	LNEPOXFFQSENCJ	0	positive
AU10230246	VOXZDWNPVJITMN	0	positive
AU10353956	NFMIMWNQWAWNDW	0	positive
AU10402993	UHXUZOCRWCRNSJ	0	positive
AU10594639	NDAUXUAQIAJITI	8	positive
AU10643057	MIWRSUQXSCLDNV	0	positive
AU10646364	MUMGGOZAMZWBJJ	0	positive
AU10677716	JTSDBFGMPLKDCD	0	positive
AU10805206	VNFPBHJOKIVQEB	0	positive
AU10835005	NXFQWRWXEYTOTK	0	positive
AU10877244	NUIURNJTPRWVAP	0	positive
AU11136277	UJVLDDZCTMKXJK	0	positive
AU11213721	XMAYWYJOQHXEEK	0	positive
AU11293284	YELGFTGWJGBAQU	0	positive
AU11301802	AEMFNILZOJDQLW	0	positive
AU11342702	KIEDNEWSYUYDSN	0	positive
AU11428625	CXEGAUYXQAKHKJ	0	positive
AU11741447	OQIQSTLJSLGHID	0	positive
AU11747854	DQWPFSLDHJDLRL	4	positive
AU11846238	DOMXUEMWDBAQBQ	0	positive
AU11900338	FAEKWTJYAYMJKF	0	positive
AU11984157	DPBWFNDFMCCGGJ	0	positive
AU12011478	XKFUETYLBPYNKF	0	positive
AU12022292	PHVGLTMQBUFIQQ	7	positive
AU12029328	PWWVAXIEGOYWEE	0	positive
AU12262673	UURAUHCOJAIIRQ	0	positive
AU12415724	MVWVFYHBGMAFLY	0	positive
AU12430809	RLBIQVVOMOPOHC	0	positive
AU12450407	BHHGXPLMPWCGHP	0	positive
AU12452163	OIGNJSKKLXVSLS	0	positive
AU12511096	KVMPUXDNESXNOH	0	positive
AU12638569	HDHLIWCXDDZUFH	0	positive
AU12753894	CWJSHJJYOPWUGX	0	positive
AU12922190	RVSCDWJKJDBFRS	0	positive
AU12943657	MKUXAQIIEYXACX	0	positive
AU13258125	AHLBNYSZXLDEJQ	0	positive
AU13283492	SYWHXTATXSMDSB	0	positive
AU13330902	USSIQXCVUWKGNF	0	positive
AU13342584	RDOIQAHITMMDAJ	0	positive
AU13413822	IVUXTESCPZUGJC	0	positive
AU13780670	AOMUHOFOVNGZAN	0	positive
