accession	inchikey1	model	ionization
BML7137736	GIFPGRLKDGPYAR	0	positive
BML7151362	XHCADAYNFIFUHF	0	positive
BML7255668	ZHDJHNSKUYZDCF	0	positive
BML7282310	DMAXEADUOQCSHM	0	positive
BML7284938	PIMZUZSSNYHVCU	0	positive
BML7413510	QNKIRTADURZGPG	0	positive
BML7495667	UCTWMZQNUQWSLP	0	positive
BML7538993	IYGYMKDQCDOMRE	0	positive
BML7557930	FMDMLXZPCLVWSQ	0	positive
BML7577675	IXHDNZKSQDEGGB	0	positive
BML7598646	PYPKJBUJNZMSTH	0	positive
BML7604062	IKGXIBQEEMLURG	0	positive
BML7688704	PIJVFDBKTWXHHD	0	positive
BML7782141	JAFAHOKDGKCLNO	0	positive
BML7794963	XHSQDZXAVJRBMX	0	positive
BML7923593	DEMKZLAVQYISIA	0	positive
BML7962497	IWRPVTXREVYBHT	0	positive
BML8049203	DYARIVMCYYQNNQ	0	positive
BML8059795	CZCIKBSVHDNIDH	7	positive
BML8104969	QANMHLXAZMSUEX	5	positive
BML8202086	QZESEGHSLFKZIV	0	positive
BML8272943	GPTFURBXHJWNHR	0	positive
BML8279981	WTDRDQBEARUVNC	0	positive
BML8289474	IEMDPPNEUUFQGC	0	positive
BML8318444	BLGXFZZNTVWLAY	5	positive
BML8349679	LUKBXSAWLPMMSZ	0	positive
BML8361445	QILZVYQRHGBEAR	0	positive
BML8370001	SZMQXDYEGKRZDG	0	positive
BML8416019	IBXCKSUZOFKGSB	0	positive
BML8479090	RODXRVNMMDRFIK	8	positive
BML8503417	VDHYPSXGMGKEHS	0	positive
BML8534108	PWNURKDPPRSGQU	0	positive
BML8572679	AUNGANRZJHBGPY	0	positive
BML8596729	BDIZBBGNYDRCCA	0	positive
BML8682558	FUWWLIOFNXNKQR	0	positive
BML8700212	SLSIBLKBHNKZTB	0	positive
BML8718723	LKPQNZRGGNOPPU	0	positive
BML8720354	NCGZRLGSEHVTTI	0	positive
BML8791771	YAPQBXQYLJRXSA	0	positive
BML8818253	RHGKLRLOHDJJDR	3	positive
BML8847610	ANJTVLIZGCUXLD	9	positive
BML8879903	HKQYGTCOTHHOMP	0	positive
BML8881990	WUADCCWRTIWANL	4	positive
BML8942269	QUQPHWDTPGMPEX	1	positive
BML8946686	JVVXZOOGOGPDRZ	0	positive
BML9006833	UIKROCXWUNQSPJ	7	positive
BML9013465	GYOGHROCTSEKDY	0	positive
BML9110930	ZCCUUQDIBDJBTK	0	positive
BML9145225	URFCJEUYXNAHFI	6	positive
BML9168742	RYYVLZVUVIJVGH	6	positive
BML9265892	KMPWYEUPVWOPIM	0	positive
BML9266843	HYFHYPWGAURHIV	0	positive
BML9269925	NNZHGEUZKBYASA	0	positive
BML9305038	KWVISVAMQJWJSZ	4	positive
BML9331977	VHCQVGQULWFQTM	0	positive
BML9344816	IPQVTOJGNYVQEO	0	positive
BML9363285	HAVWRBANWNTOJX	3	positive
BML9389154	XHEFDIBZLJXQHF	0	positive
BML9404026	YKPUWZUDDOIDPM	9	positive
BML9498313	ILEDWLMCKZNDJK	0	positive
BML9534785	QELDJEKNFOQJOY	9	positive
BML9583274	OVBPIULPVIDEAO	3	positive
BML9583371	QIVBCDIJIAJPQS	0	positive
BML9667568	XLTANAWLDBYGFU	0	positive
BML9720637	IENZQIKPVFGBNW	0	positive
BML9723000	YBJHBAHKTGYVGT	0	positive
BML9743950	HODDQHCNQOBZKP	0	positive
BML9815023	GAODIMGJPXDDHA	0	positive
BML9936822	VGEREEWJJVICBM	0	positive
BML9978488	RCINICONZNJXQF	0	positive
CE01069927	AKNNEGZIBPJZJG	0	positive
CE04527813	DLRVVLDZNNYCBX	0	positive
CE05703763	YUSWMAULDXZHPY	8	positive
CE07569506	YTFVRYKNXDADBI	1	positive
CE10616634	MTCFGRXMJLQNBG	3	positive
CE12670821	LYGPBZVKGHHTIE	0	positive
CE13341524	HDTRYLNUVZCQOY	0	positive
CE13577848	KMPWYEUPVWOPIM	0	positive
CE13652905	IYRMWMYZSQPJKC	4	positive
CE15275009	ORXQGKIUCDPEAJ	0	positive
CE17197997	PSFDQSOCUJVVGF	0	positive
CE17359681	IBRKLUSXDYATLG	0	positive
CE17409502	VMWNQDUVQKEIOC	2	positive
CE17516464	ROHFNLRQFUQHCH	0	positive
CE20132503	GOSWTRUMMSCNCW	0	positive
CE23014846	KDUMGDGPRAORNS	0	positive
CE23022765	COLNVLDHVKWLRT	9	positive
CE24081648	AGPKZVBTJJNPAG	1	positive
CE24138515	OUYCCCASQSFEME	4	positive
CE26061508	WQZGKKKJIJFFOK	0	positive
CE28222368	ABXZOXDTHTTZJW	0	positive
CE28786010	WHUUTDBJXJRKMK	2	positive
CE29101326	VYRAJOITMBSQSE	0	positive
CE30160679	QEVHRUUCFGRFIF	0	positive
CE33813595	FBPFZTCFMRRESA	0	positive
CE34583969	PNNNRSAQSRJVSB	0	positive
CE35663662	ONIBWKKTOPOVIA	0	positive
CE36346375	BGEBZHIAGXMEMV	0	positive
CE37073527	IOUVKUPGCMBWBT	0	positive
CE38540964	AZEGJHGXTSUPPG	0	positive
CE39119998	FBPFZTCFMRRESA	0	positive
CE41046332	GUBGYTABKSRVRQ	0	positive
CE44146236	LEVWYRKDKASIDU	0	positive
CE46984435	COLNVLDHVKWLRT	9	positive
CE48450524	KGPAYJZAMGEDIQ	1	positive
CE48746344	PFTAWBLQPZVEMU	0	positive
CE49153502	OIRDTQYFTABQOQ	7	positive
CE52864633	KZSNJWFQEVHDMF	8	positive
CE55288483	IKGXIBQEEMLURG	0	positive
CE56155790	DFPMSGMNTNDNHN	0	positive
CE57377153	MVMBTNNVZQRZQT	0	positive
CE59282487	UZKQTCBAMSWPJD	8	positive
CE62936951	VYRAJOITMBSQSE	0	positive
CE64661760	TZBJGXHYKVUXJN	8	positive
CE66992577	HYVABZIGRDEKCD	0	positive
CE68873842	FFEARJCKVFRZRR	0	positive
CE69135321	QANMHLXAZMSUEX	5	positive
CE71248892	QIVBCDIJIAJPQS	0	positive
CE71604190	UZKQTCBAMSWPJD	8	positive
CE71708880	ARQXEQLMMNGFDU	4	positive
CE72532447	AUVVAXYIELKVAI	0	positive
CE74111617	UUPDCCPAOMDMPT	0	positive
CE74983867	WQZGKKKJIJFFOK	0	positive
CE75805773	LUKBXSAWLPMMSZ	0	positive
CE76154541	KMAKOBLIOCQGJP	0	positive
CE76464280	UUQINGLDFWYORW	0	positive
CE76588252	GHKISGDRQRSCII	7	positive
CE76848313	ILUJQPXNXACGAN	0	positive
CE80912814	WWUZIQQURGPMPG	0	positive
CE81113279	UUPDCCPAOMDMPT	0	positive
CE83330170	ODKSFYDXXFIFQN	5	positive
CE84188269	WUADCCWRTIWANL	4	positive
CE89034658	ULGZDMOVFRHVEP	9	positive
CE89674929	DZGWFCGJZKJUFP	0	positive
CE92708961	GOSWTRUMMSCNCW	0	positive
CE93035485	IYGYMKDQCDOMRE	0	positive
CE93419671	REFJWTPEDVJJIY	6	positive
CE96316033	JUVIOZPCNVVQFO	0	positive
CE99667337	BAWFJGJZGIEFAR	0	positive
EA00206641	DQMZLTXERSFNPB	7	positive
EA00312767	CTSLUCNDVMMDHG	0	positive
EA00641643	PXMNMQRDXWABCY	0	positive
EA01048998	KIEDNEWSYUYDSN	0	positive
EA01335736	QXAITBQSYVNQDR	0	positive
EA01554990	JXCGFZXSOMJFOA	0	positive
EA01645945	CGIGDMFJXJATDK	0	positive
EA02358290	IROINLKCQGIITA	0	positive
EA02739772	HKAMKLBXTLTVCN	0	positive
EA02770447	UHXUZOCRWCRNSJ	0	positive
EA02854118	STJLVHWMYQXCPB	0	positive
EA03112620	WYKYKTKDBLFHCY	0	positive
EA03358688	XMTQQYYKAHVGBJ	8	positive
EA03387334	KRMDCWKBEZIMAB	0	positive
EA03485394	OGJPXUAPXNRGGI	0	positive
EA03878158	CYESCLHCWJKRKM	0	positive
EA03890566	MMOXZBCLCQITDF	9	positive
EA03903951	AQHHHDLHHXJYJD	8	positive
EA04066224	KPUREKXXPHOJQT	0	positive
EA04078214	PUIYMUZLKQOUOZ	0	positive
EA04210283	FQXWEKADCSXYOC	0	positive
EA04762901	QEVHRUUCFGRFIF	0	positive
EA04837566	OUSYWCQYMPDAEO	0	positive
EA04849845	MZZBPDKVEFVLFF	0	positive
EA04965030	FROBCXTULYFHEJ	0	positive
EA05007133	DCASRSISIKYPDD	0	positive
EA05710692	DKYWVDODHFEZIM	9	positive
EA05798036	METKIMKYRPQLGS	7	positive
EA05919537	OROGSEYTTFOCAN	6	positive
EA05920367	DFJVUWAHTQPQCV	0	positive
EA05975799	NDAUXUAQIAJITI	8	positive
EA06073615	HPHUVLMMVZITSG	0	positive
EA06596014	JZUFKLXOESDKRF	0	positive
EA06876657	MIABSAQIFYEDJP	0	positive
EA07150250	WYEMLYFITZORAB	0	positive
EA07178395	PUIYMUZLKQOUOZ	0	positive
EA07505736	PGMHPYRIXBRRQD	0	positive
EA07873068	RSMUVYRMZCOLBH	0	positive
EA07949447	XUKUURHRXDUEBC	0	positive
EA08200521	LEZHOZPJYAQQNU	0	positive
EA08246944	IAOZJIPTCAWIRG	0	positive
EA08318548	YUVKUEAFAVKILW	0	positive
EA08687623	RZVAJINKPMORJF	1	positive
EA08738827	KYYIDSXMWOZKMP	0	positive
EA09168469	ICUTUKXCWQYESQ	0	positive
EA09315690	AAOVKJBEBIDNHE	7	positive
EA09375566	FZXISNSWEXTPMF	0	positive
EA09755815	NQLVQOSNDJXLKG	0	positive
EA09829952	VTNQPKFIQCLBDU	3	positive
EA10017916	LKJPYSCBVHEWIU	0	positive
EA10050534	MKAFOJAJJMUXLW	0	positive
EA10310896	YQIXRXMOJFQVBV	0	positive
EA10456457	XUKUURHRXDUEBC	0	positive
EA10504870	FOXFZRUHNHCZPX	0	positive
EA10661727	HTQMVQVXFRQIKW	0	positive
EA10964877	IEDVJHCEMCRBQM	0	positive
EA11164335	VHFVKMTVMIZMIK	5	positive
EA11252851	NJKDOADNQSYQEV	0	positive
EA11515884	ZQEIXNIJLIKNTD	0	positive
EA11610935	JXCGFZXSOMJFOA	0	positive
EA11955407	MKAFOJAJJMUXLW	0	positive
EA11994096	PHMHHVKFXZNTKU	0	positive
EA12245272	SNPPWIUOZRMYNY	9	positive
EA12263616	OROGSEYTTFOCAN	6	positive
EA12449395	LMKQNTMFZLAJDV	0	positive
EA12462628	RJKCKKDSSSRYCB	0	positive
EA12466307	IANUJLZYFUDJIH	0	positive
EA12499046	NENPYTRHICXVCS	0	positive
EA12543941	PNVNVHUZROJLTJ	0	positive
EA12864675	QZUDBNBUXVUHMW	1	positive
EA12878630	IDOWTHOLJBTAFI	0	positive
EA12955940	KDLRVYVGXIQJDK	0	positive
EA13253976	GECHUMIMRBOMGK	3	positive
EA13320146	NWJBWNIUGNXJGO	0	positive
EA13684013	SDUQYLNIPVEERB	0	positive
EA13705395	MYSWGUAQZAJSOK	0	positive
EA13962141	MHGMSAFPNAKIRZ	0	positive
EA14108693	YELGFTGWJGBAQU	0	positive
EA14199653	YELGFTGWJGBAQU	0	positive
EA14899780	MFOUDYKPLGXPGO	0	positive
EA14926532	DQWIIKBKAIPUPY	0	positive
EA15124793	PQTBTIFWAXVEPB	0	positive
EA15481663	ZZORFUFYDOWNEF	0	positive
EA15533995	VHGCDTVCOLNTBX	0	positive
EA15594692	INGSNVSERUZOAK	7	positive
EA16045465	ICUTUKXCWQYESQ	0	positive
EA16061952	RYYVLZVUVIJVGH	6	positive
EA16088431	HLFSDGLLUJUHTE	0	positive
EA16362176	YMTINGFKWWXKFG	3	positive
EA16414448	DKYWVDODHFEZIM	9	positive
EA16568166	RMMXLENWKUUMAY	7	positive
EA16770403	UGJMXCAKCUNAIE	4	positive
EA16798177	ZDYYWMSLMLTXDM	0	positive
EA16842243	ZKLPARSLTMPFCP	1	positive
EA16884612	LLLFASISUZUJEQ	0	positive
EA17195162	BZRUVKZGXNSXMB	0	positive
EA17261382	SCCDDNKJYDZXMM	0	positive
EA17514951	UFNOUKDBUJZYDE	0	positive
EA17636899	UHXUZOCRWCRNSJ	0	positive
EA17692888	RMMXTBMQSGEXHJ	0	positive
EA17741278	ZQTNQVWKHCQYLQ	0	positive
EA17847038	OIGNJSKKLXVSLS	0	positive
EA18367970	JLKIGFTWXXRPMT	1	positive
EA18504470	XNSGCNYTNLWRKM	0	positive
EA18738298	WYVVKGNFXHOCQV	0	positive
EA18742486	AQHHHDLHHXJYJD	8	positive
EA19375068	VTNQPKFIQCLBDU	3	positive
EA19481296	CMSMOCZEIVJLDB	0	positive
EA19868282	DXGLGDHPHMLXJC	0	positive
EA20325708	ZRWWEEVEIOGMMT	0	positive
EA20433053	WXZVAROIGSFCFJ	0	positive
EA20447094	WJNRPILHGGKWCK	5	positive
EA20509092	DCOPUUMXTXDBNB	0	positive
EA20602464	WFDXOXNFNRHQEC	0	positive
EA20715336	RYAUSSKQMZRMAI	0	positive
EA20890777	WYEHFWKAOXOVJD	0	positive
EA21042334	ZZUFCTLCJUWOSV	0	positive
EA21165445	RSMUVYRMZCOLBH	0	positive
EA21193676	PUYXTUJWRLOUCW	0	positive
EA21230636	AAEVYOVXGOFMJO	0	positive
EA21597806	AAEVYOVXGOFMJO	0	positive
EA21621091	HZJKXKUJVSEEFU	0	positive
EA21818260	JPMIIZHYYWMHDT	0	positive
EA21829211	VAOCPAMSLUNLGC	0	positive
EA21874065	VSOOBQALJVLTBH	0	positive
EA22040000	AMRQXHFXNZFDCH	0	positive
EA22060714	OYTCZOJKXCTBHG	0	positive
EA22320067	USSIQXCVUWKGNF	0	positive
EA22417328	CMWTZPSULFXXJA	0	positive
EA22592700	DMSMPAJRVJJAGA	0	positive
EA22595834	AEUTYOVWOVBAKS	3	positive
EA22641118	FZTRDYSPWWJCOF	0	positive
EA22690830	IKCXDZCEWZARFL	0	positive
EA22880733	UFNOUKDBUJZYDE	0	positive
EA22905071	PXMNMQRDXWABCY	0	positive
EA23147099	SBPBAQFWLVIOKP	0	positive
EA23166589	ULGZDMOVFRHVEP	9	positive
EA23266725	MMSWXJSQCAEDLK	0	positive
EA23328299	IISBACLAFKSPIT	0	positive
EA23609219	STJLVHWMYQXCPB	0	positive
EA23778850	MQOBSOSZFYZQOK	0	positive
EA23806083	VNFPBHJOKIVQEB	0	positive
EA23861382	DHNRXBZYEKSXIM	0	positive
EA24030368	MYWUZJCMWCOHBA	0	positive
EA24450506	BMLIZLVNXIYGCK	0	positive
EA24479363	IVENSCMCQBJAKW	0	positive
EA24549989	OLAOYPRJVHUHCF	0	positive
EA24613291	NJIZUWGMNCUKGU	0	positive
EA24671564	FHIVAFMUCKRCQO	0	positive
EA24745476	VSZGPKBBMSAYNT	0	positive
EA25078144	HLFSDGLLUJUHTE	0	positive
EA25461444	NCDNCNXCDXHOMX	0	positive
EA25528995	CJDWRQLODFKPEL	0	positive
EA25703262	TTWJBBZEZQICBI	2	positive
EA26002454	DGAIEPBNLOQYER	0	positive
EA26146475	MXWJVTOOROXGIU	6	positive
EA26305384	ZOCSXAVNDGMNBV	0	positive
EA26672713	YVPYQUNUQOZFHG	0	positive
EA26785305	RMMXLENWKUUMAY	7	positive
EA26855427	ACWBQPMHZXGDFX	3	positive
EA27246454	MQTOSJVFKKJCRP	6	positive
EA27475355	PUQIRTNPJRFRCZ	0	positive
EA27617505	WFDXOXNFNRHQEC	0	positive
EA27743709	SDUQYLNIPVEERB	0	positive
EA27774271	MXWJVTOOROXGIU	6	positive
EA28007394	BPRHUIZQVSMCRT	0	positive
EA28176808	YLPBXIKWXNRACS	0	positive
EA28215188	XERJKGMBORTKEO	0	positive
EA28671508	DHSUYTOATWAVLW	0	positive
EA28928564	GVGYEFKIHJTNQZ	0	positive
EA29245569	HOYCASTVMCEOTP	0	positive
EA29321354	HLIAVLHNDJUHFG	0	positive
EA29474744	TVLSRXXIMLFWEO	0	positive
EA29523333	IDOWTHOLJBTAFI	0	positive
EA29715431	LMKQNTMFZLAJDV	0	positive
EA29789755	SCCDDNKJYDZXMM	0	positive
EA29948462	RYYVLZVUVIJVGH	6	positive
EA30271475	LCGTWRLJTMHIQZ	0	positive
EA30325075	MFFMDFFZMYYVKS	0	positive
EA30412822	ZOMSMJKLGFBRBS	0	positive
EA30481963	XCSGPAVHZFQHGE	2	positive
EA30639945	YQIXRXMOJFQVBV	0	positive
EA30748956	FNCMBMZOZQAWJA	0	positive
EA30902792	DHNRXBZYEKSXIM	0	positive
EA31023947	FFGPTBGBLSHEPO	0	positive
EA31320753	NXTDJHZGHOFSQG	0	positive
EA31552868	GCKLGRUZDXSATG	0	positive
EA31576246	ASWVTGNCAZCNNR	2	positive
EA31907485	NTJOBXMMWNYJFB	0	positive
EA32149592	AJPIUNPJBFBUKK	0	positive
EA32200622	BCQMBFHBDZVHKU	0	positive
EA32591608	UREBDLICKHMUKA	0	positive
EA32645281	ZOTBXTZVPHCKPN	0	positive
EA32772969	PUQIRTNPJRFRCZ	0	positive
EA32808727	HCAJEUSONLESMK	0	positive
EA32822154	IVENSCMCQBJAKW	0	positive
EA32832968	FNCMBMZOZQAWJA	0	positive
EA32872670	QCAWEPFNJXQPAN	0	positive
EA32905914	HPNSFSBZBAHARI	3	positive
EA32968765	HKAMKLBXTLTVCN	0	positive
EA33009639	PUYXTUJWRLOUCW	0	positive
EA33560876	ZRWWEEVEIOGMMT	0	positive
EA33901176	YFBPRJGDJKVWAH	0	positive
EA33938973	OUSYWCQYMPDAEO	0	positive
EA33957898	RTHCYVBBDHJXIQ	0	positive
EA34067127	XQZXYNRDCRIARQ	0	positive
EA34372646	NXFQWRWXEYTOTK	0	positive
EA34486399	KWGRBVOPPLSCSI	7	positive
EA34576726	SZCMHDLOUVZYST	0	positive
EA34585682	AFWOYEYXUDHGHF	0	positive
EA34635884	TTWJBBZEZQICBI	2	positive
EA34658475	CIGKZVUEZXGYSV	0	positive
EA34733165	HAORKNGNJCEJBX	0	positive
EA34876120	WSJBSKRPKADYRQ	0	positive
EA35069674	SNPPWIUOZRMYNY	9	positive
EA35071060	LRUDIIUSNGCQKF	0	positive
EA35340979	HCAJEUSONLESMK	0	positive
EA35482904	KWTSXDURSIMDCE	0	positive
EA35637045	AEUTYOVWOVBAKS	3	positive
EA35713448	WZZLDXDUQPOXNW	0	positive
EA36214770	IISBACLAFKSPIT	0	positive
EA36585345	LNOOSYCKMKZOJB	0	positive
EA36607159	OWEGWHBOCFMBLP	0	positive
EA36674659	YVPYQUNUQOZFHG	0	positive
EA37114254	IRCMYGHHKLLGHV	0	positive
EA37280107	VMXUWOKSQNHOCA	0	positive
EA37466424	YOYAIZYFCNQIRF	0	positive
EA37559451	YMYKMSAZEZQEER	0	positive
EA37639346	PNVNVHUZROJLTJ	0	positive
EA37784257	KVEQCVKVIFQSGC	0	positive
EA37952034	AHTPATJNIAFOLR	0	positive
EA38355527	UREBDLICKHMUKA	0	positive
EA38422178	NFMIMWNQWAWNDW	0	positive
EA38613494	LJKAKWDUZRJNPJ	0	positive
EA38652212	ITVGXXMINPYUHD	0	positive
EA39002619	ISEUFVQQFVOBCY	8	positive
EA39047593	IOJUPLGTWVMSFF	0	positive
EA39084957	VSOOBQALJVLTBH	0	positive
EA39533404	PORQOHRXAJJKGK	0	positive
EA39664316	YWTYJOPNNQFBPC	0	positive
EA40218458	MGOHCFMYLBAPRN	0	positive
EA40308067	HJUFTIJOISQSKQ	0	positive
EA40493007	RMMXTBMQSGEXHJ	0	positive
EA40561795	IAOZJIPTCAWIRG	0	positive
EA40864107	VHRSUDSXCMQTMA	0	positive
EA41339654	HDHLIWCXDDZUFH	0	positive
EA41701446	YUVKUEAFAVKILW	0	positive
EA41876901	ZTMKADLOSYKWCA	0	positive
EA41914378	NQLVQOSNDJXLKG	0	positive
EA42132874	OROAFUQRIXKEMV	0	positive
EA42143458	GXPIUNZCALHVBA	0	positive
EA42328137	DCASRSISIKYPDD	0	positive
EA42454165	PQTBTIFWAXVEPB	0	positive
EA42654853	HZRSNVGNWUDEFX	0	positive
EA42868605	GXPIUNZCALHVBA	0	positive
EA43258554	QMHAHUAQAJVBIW	0	positive
EA43519147	AGOYDEPGAOXOCK	0	positive
EA43621796	BCQMBFHBDZVHKU	0	positive
EA43726623	NUPJIGQFXCQJBK	0	positive
EA43739603	AFCGFAGUEYAMAO	0	positive
EA43924408	ZBMZVLHSJCTVON	0	positive
EA43981055	YWTYJOPNNQFBPC	0	positive
EA44060452	NUISVCFZNCYUIM	0	positive
EA44435907	YQEZLKZALYSWHR	0	positive
EA44464481	STEPQTYSZVCJPV	0	positive
EA44523458	CSWIKHNSBZVWNQ	0	positive
EA44637483	RLQJEEJISHYWON	0	positive
EA44868198	HJUFTIJOISQSKQ	0	positive
EA44948246	QNBTYORWCCMPQP	0	positive
EA44958177	ZRKZFNZPJKEWPC	0	positive
EA45006674	RTHCYVBBDHJXIQ	0	positive
EA45202175	ZRKZFNZPJKEWPC	0	positive
EA45210030	CXWYCAYNZXSHTF	0	positive
EA45397213	ACWBQPMHZXGDFX	3	positive
EA45502659	HRBKVYFZANMGRE	0	positive
EA45526876	SGTNSNPWRIOYBX	0	positive
EA45752470	RTCOGUMHFFWOJV	0	positive
EA46111331	DFWFIQKMSFGDCQ	0	positive
EA46232934	SEEPANYCNGTZFQ	0	positive
EA46257976	QYPNKSZPJQQLRK	0	positive
EA46550240	HAORKNGNJCEJBX	0	positive
EA46615971	PGOOBECODWQEAB	0	positive
EA46623540	IEDVJHCEMCRBQM	0	positive
EA46909554	MYWUZJCMWCOHBA	0	positive
EA46969201	NNJVILVZKWQKPM	9	positive
EA47252980	MQTOSJVFKKJCRP	6	positive
EA47272295	JPMIIZHYYWMHDT	0	positive
EA47296924	KKIMDKMETPPURN	6	positive
EA47574656	WZJZMXBKUWKXTQ	0	positive
EA47644739	HZJKXKUJVSEEFU	0	positive
EA48135502	GECHUMIMRBOMGK	3	positive
EA48201975	YQEZLKZALYSWHR	0	positive
EA48498759	PGOOBECODWQEAB	0	positive
EA48841062	VSZGPKBBMSAYNT	0	positive
EA48893855	MMSWXJSQCAEDLK	0	positive
EA48901338	MEFQWPUMEMWTJP	0	positive
EA48910619	YHXISWVBGDMDLQ	0	positive
EA49585897	RXZBMPWDPOLZGW	7	positive
EA49657117	HTQMVQVXFRQIKW	0	positive
EA49714305	GHASVSINZRGABV	0	positive
EA49735125	AGOYDEPGAOXOCK	0	positive
EA50032770	PXDNXJSDGQBLKS	0	positive
EA50224836	WYKYKTKDBLFHCY	0	positive
EA50777687	RVSCDWJKJDBFRS	0	positive
EA50810781	BQJCRHHNABKAKU	2	positive
EA50857088	KXNXWINFSDKMHD	0	positive
EA50905649	NENPYTRHICXVCS	0	positive
EA50971974	HEFNNWSXXWATRW	0	positive
EA51280331	QRUDEWIWKLJBPS	0	positive
EA51886044	CMSMOCZEIVJLDB	0	positive
EA52005877	IKCXDZCEWZARFL	0	positive
EA52072335	QXAITBQSYVNQDR	0	positive
EA52513906	HOYCASTVMCEOTP	0	positive
EA52749666	ZTMKADLOSYKWCA	0	positive
EA52890055	ADWTYURAFSWNSU	0	positive
EA53013633	HOKKPVIRMVDYPB	0	positive
EA53276569	NWJBWNIUGNXJGO	0	positive
EA53309134	OLAOYPRJVHUHCF	0	positive
EA53471916	NWUWYYSKZYIQAE	0	positive
EA53516947	WYEHFWKAOXOVJD	0	positive
EA53517999	AJRJPORIQGYFMT	0	positive
EA53833381	VHRSUDSXCMQTMA	0	positive
EA53995472	VHCNQEUWZYOAEV	0	positive
EA54050812	ZPUCINDJVBIVPJ	0	positive
EA54134009	LRTFPLFDLJYEKT	0	positive
EA54310456	BZRUVKZGXNSXMB	0	positive
EA54532386	RTCOGUMHFFWOJV	0	positive
EA54889653	TVYLLZQTGLZFBW	0	positive
EA55157663	QCDQDISRALTLNQ	0	positive
EA55499815	ZQTNQVWKHCQYLQ	0	positive
EA55710821	FQKUGOMFVDPBIZ	0	positive
EA55819263	KIEDNEWSYUYDSN	0	positive
EA55854233	VEQOALNAAJBPNY	9	positive
EA55956680	RFHAOTPXVQNOHP	1	positive
EA56024170	IQXXEPZFOOTTBA	0	positive
EA56053953	ZSCDBOWYZJWBIY	0	positive
EA56224269	CXWYCAYNZXSHTF	0	positive
EA56794454	LRTFPLFDLJYEKT	0	positive
EA57126130	UWMXVJVTKRSOPW	0	positive
EA57286527	VAOCPAMSLUNLGC	0	positive
EA57409515	VGPYEHKOIGNJKV	0	positive
EA57459527	BQYJATMQXGBDHF	0	positive
EA57519469	IRTZMJWVZQYURE	0	positive
EA57677151	IWEDIXLBFLAXBO	0	positive
EA57728229	YFGYUFNIOHWBOB	0	positive
EA57737400	WBPYTXDJUQJLPQ	0	positive
EA57811121	IROINLKCQGIITA	0	positive
EA57842273	NFMIMWNQWAWNDW	0	positive
EA58058903	IQPSEEYGBUAQFF	0	positive
EA58375562	JZUFKLXOESDKRF	0	positive
EA58493293	MGNFYQILYYYUBS	0	positive
EA58498493	HEFNNWSXXWATRW	0	positive
EA58604792	ZOMSMJKLGFBRBS	0	positive
EA58642481	MEFQWPUMEMWTJP	0	positive
EA58923647	PXDNXJSDGQBLKS	0	positive
EA59145211	ODCWYMIRDDJXKW	7	positive
EA59380349	BMLIZLVNXIYGCK	0	positive
EA59652663	HOMGKSMUEGBAAB	0	positive
EA59729288	WSJBSKRPKADYRQ	0	positive
EA60067302	MYSWGUAQZAJSOK	0	positive
EA60272327	PGMHPYRIXBRRQD	0	positive
EA60437500	SZCMHDLOUVZYST	0	positive
EA60602712	SBZXBUIDTXKZTM	0	positive
EA60643817	DQMZLTXERSFNPB	7	positive
EA60665897	QMHAHUAQAJVBIW	0	positive
EA60708274	OIAGWXKSCXPNNZ	0	positive
EA60873294	HYHJOUPYTUBFIX	0	positive
EA60928249	DXGLGDHPHMLXJC	0	positive
EA61159488	RVSCDWJKJDBFRS	0	positive
EA61828474	OYTCZOJKXCTBHG	0	positive
EA62144590	XNSGCNYTNLWRKM	0	positive
EA62439569	NWUWYYSKZYIQAE	0	positive
EA62471834	SGTNSNPWRIOYBX	0	positive
EA62495033	KDLRVYVGXIQJDK	0	positive
EA62556153	NXFQWRWXEYTOTK	0	positive
EA62745701	PRGQOPPDPVELEG	0	positive
EA62898688	WYVVKGNFXHOCQV	0	positive
EA62963786	ZKLPARSLTMPFCP	1	positive
EA62982938	OWEGWHBOCFMBLP	0	positive
EA63016927	NTJOBXMMWNYJFB	0	positive
EA63055715	LKJPYSCBVHEWIU	0	positive
EA63119832	VGPYEHKOIGNJKV	0	positive
EA63457903	DGAIEPBNLOQYER	0	positive
EA63899749	PYZRQGJRPPTADH	5	positive
EA64266673	AJPIUNPJBFBUKK	0	positive
EA64375636	NJKDOADNQSYQEV	0	positive
EA64432940	SBZXBUIDTXKZTM	0	positive
EA64643734	SKHXRNHSZTXSLP	0	positive
EA64653580	FQXWEKADCSXYOC	0	positive
EA65022586	UDCDOJQOXWCCSD	0	positive
EA65066816	FIRDBEQIJQERSE	0	positive
EA65219525	VHGCDTVCOLNTBX	0	positive
EA65310829	RJKCKKDSSSRYCB	0	positive
EA65506081	HOKKPVIRMVDYPB	0	positive
EA65698249	WVQBLGZPHOPPFO	6	positive
EA65920393	XKJMBINCVNINCA	0	positive
EA65991484	MHGMSAFPNAKIRZ	0	positive
EA66015726	REEQLXCGVXDJSQ	0	positive
EA66192082	NWWZPOKUUAIXIW	0	positive
EA66494584	XQZXYNRDCRIARQ	0	positive
EA66970218	DQCKKXVULJGBQN	0	positive
EA66999804	HPHUVLMMVZITSG	0	positive
EA67137821	UDCDOJQOXWCCSD	0	positive
EA67244646	OIGNJSKKLXVSLS	0	positive
EA67317774	OROAFUQRIXKEMV	0	positive
